Fayez A. Elayan,A. William Richardson
"Restriction: open to BAcc, BBA and combined Business majors with a minimum of 14.0 overall credits.","Note: enrolment limited to 40 students per section. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
MGMT 4V90-4V99,Topics in Management II
A course structured by a faculty member having specialized interest in an area within the discipline.,"Restriction: open to BBA, BBE, BCB and combined Business majors until date specified in Registration guide. Students must have a minimum of 13.5 overall credits."
MKTG 2P51,Marketing Basics
Introduction to basics of marketing.,Note: may be offered online.
MKTG 2P52,General Marketing Management
Exploring the marketing management process.,Note: may be offered online.
MKTG 2P91,Introduction to Marketing
"Characteristics of the marketing function in Canada, basic marketing concepts and the marketing function in organizations.","Restriction: open to BAcc, BBA, BCB and combined Business majors. In Fall Term open to BAcc, BAcc Co-op, BBA Co-op and EBS Double Degree majors until date specified in Registration guide. Students must have a minimum of 2.5 overall credits."
MKTG 3P24,Marketing Management
Marketing concepts in decision-making and the role of the marketing manager.,"Restriction: open to BAcc, BBA, BCB and combined Business majors. In Winter Term open to BBA Co-op and EBS Double Degree majors until date specified in Registration guide."
MKTG 3P96,Marketing Research
"Market research as a managerial tool including scientific method, research and questionnaire design, experimentation, sample selection, data collection and research procedure.",Note: a fieldwork assignment will be required.
MKTG 3P97,Marketing of High-Technology Products and Innovations
"Topics include the characteristics, types and patterns of innovation and their marketing implications, tools used to gather marketing intelligence, use of strategic alliances, and understanding of regulatory and ethical considerations.",MKTG 3P98
Marketing Analytics and Intelligence,"Essential decision models and strategic metrics forming the cornerstone of marketing analytics, allowing for the maximization of the return on marketing investment. Conceptual discussions and applied/hands-on analyses. Topics include market sizing, forecasting, positioning, promotion budget allocation, profit maximization and communicating through marketing data-driven presentations."
MKTG 4F90,Research Topic
Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.,"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member."
Note: topic to be chosen in consultation with the supervising faculty member.,MKTG 4P23
Marketing Communications,"Management problems in the formulation, implementation and evaluation of programs in the areas of advertising, selling and promotional activities."
MKTG 4P25,Marketing Strategy
"Topics include analysis of industry, customer, market and competitive environments, sources of competitive advantage and methods of allocating resources to new and established products. The strategic role of market evolution and cost dynamics.",MKTG 4P26
Professional Selling and Sales Management,"Consultative sales process and management of the sales force and the role of the sales function in marketing strategy. Topics include developing, implementing, evaluating strategic sales programs and developing personal competency as a professional salesperson."
MKTG 4P28,Retail Management
"Managerial role and its effect on retailing decisions. Institutional structure of retailing and its past and probable future patterns. Marketing strategies and interrelationships among suppliers, customers and members of the distribution channels.",MKTG 4P29
Business to Business Marketing,"Application of marketing principles to business products and services to other companies, government bodies and institutions. Unique aspects of business marketing including the shifting of power in buyer-seller relationships, shortness of distribution channels emphasizing personal selling. Types of business customers and increasingly important role of B2B commerce in the business marketplace."
MKTG 4P31,Consumer Behaviour
"Application of behavioural science concepts to marketing; the interactions of consumers, sellers, public policy makers and researchers.",MKTG 4P33
International Marketing,"Marketing concept and individual components of the marketing mix in the context of the international environment; the differences between international and domestic marketing and how they affect the planning, organization and control of marketing programs."
"Restriction: open to BBA students approved to the Marketing concentration and International Business concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits.",MKTG 4P34
Marketing Financial Services,Application of marketing principles to financial services.
Note: site visits to Canadian and US financial institutions.,MKTG 4P36
Marketing Channel Management,"Channels from the manufacturer to end-users including structure and design, selecting channel members and managing channel relationships for superior performance."
MKTG 4P37,Augmented Reality Marketing
"Application of Augmented Reality (AR) to marketing through reviewing theories, strategies and tactics. Strategic opportunities for, and practical knowledge, to implement AR marketing campaigns.",MKTG 4P91
Research Topic,Directed study or research under the supervision of a faculty member in an area in which the student has shown particular competence.
"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member.",Note: to be chosen in consultation with the supervising faculty member.
#MKTG 4P92,Wine Marketing
"Understanding the wine consumer, segmentation, positioning, marketing mix, marketing research, marketing strategy, domestic and international wine marketing issues.",MKTG 4P93
Internet and Social Media Marketing,Theoretical understanding of the dynamism of the internet marketplace. Practical knowledge needed to perform vital digital marketing functions such as an online presence and utilization of the internet and social media.
MKTG 4P94,New Product Development
"Examination of process through which new products are designed, developed and commercialized. Integration of different functions including design, marketing, packaging and finance in the development of a successful new product.",MKTG 4P95
Services Marketing,"Nature and characteristics of services, their marketing and service quality."
MKTG 4P98,Pricing
"Price strategies and interaction of price with other marketing mix variables. Normative management practice and underlying conceptual theories and models involved in pricing decisions. Topics include customer-driven pricing, relevant costs, price sensitivity, managing competitive information, negotiated prices, segmented pricing, pricing psychology, ethics and price law.",MKTG 4V90-4V99
Topics in Marketing,Courses in specialized areas within the discipline.
"Restriction: open to BAcc, BBA, BBE and combined Business majors until date specified in Registration guide. Students must have a minimum of 13.5 overall credits.",OPER 2P51
General Operations Management,"Operations management and its interactions with other functional areas. Topics include process analysis, forecasting, scheduling, materials management, quality assurance and capacity planning."
"Restriction: not open to BAcc, BBA, BCB or combined Business majors.",Note: may be offered online.
OPER 2P91,Operations Management
"Improving efficiency and quality in organizations. Service and product design, process design, managing technology, capacity planning, facility location and design, resource planning, inventory management, scheduling, improving productivity, managing quality and various tools for decision-making.","Restriction: open to BAcc, BBA, BCB and combined Business majors. In the Fall Term open to BAcc and BAcc Co-op majors. In the Winter Term open to BBA, BBA Co-op and EBS Double Degree majors until date specified in Registration guide."
OPER 3P91,Advanced Operations Management
Skills and intuition development for approaching various operational challenges. Tools for more advanced analysis and software for improving efficiency and quality.,"Restriction: open to BAcc, BBA, BCB and combined Business majors."
OPER 3P92,Project Management
"Concepts and techniques for managing projects. Role of the project manager, strategic issues, resource allocation, conflict management, planning, budgeting, risk management, scheduling and controlling projects.","Restriction: open to BAcc, BBA, BCB and combined Business majors."
Note: materials fee may be required.,OPER 3P93
Quality Management,"Effectively managing quality, combining theory and practice to formulate models for quality improvement and control. Statistical tools, techniques for process re-engineering and improvement, and designing quality into products and services."
"Restriction: open to BAcc, BBA, BCB and combined Business majors.",OPER 3P94
Games of Strategy,"Decision modeling in competitive and co-operative situations. Equilibriums, information, signaling and screening, principals and agents, commitment, and playing the larger game. Applications from corporate acquisitions, bargaining and arbitration, outsourcing, ethics, pricing and promotion, auctions, organizational politics, and financial reporting and analysis."
"Restriction: open to BAcc, BBA, BCB and combined Business majors.",OPER 4F90
Research Topic,Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.
"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member.",Note: topic to be chosen in consultation with the supervising faculty member.
*OPER 4P26,Supply Chain Management
"Supply chain modelling and performance. Managing material, information and financial flows. Enabling roles of the Internet, technology and information. Design of supply chain networks, applications of ERP, e-commerce and e-procurement technologies and decision support systems in managing supply chains. Business process outsourcing and strategic partnerships.","Restriction: open to BAcc, BBA, BCB and combined Business majors."
OPER 4P31,Simulation of Business Systems
"Science and art of business modelling, using computer software with animation. Models for operations, information systems, finance, marketing and other types of systems. Technical aspects of simulation blended with the practical realities of working with real data in real situations. Implementation of the entire simulation modelling process, including data collection, model development, analysis of outputs and how to improve on existing system configurations and/or decision rules.","Restriction: open to BAcc, BBA, BCB and combined Business majors."
OPER 4P41,Management Science
"Emphasis on modelling business issues. Topics include network optimization, integer, nonlinear and goal programming, queuing models and computer simulation.","Restriction: open to BAcc, BBA, BCB and combined Business majors."
OPER 4P91,Research Topic
Directed study or research under the supervision of a faculty member in an area of demonstrated student competence.,"Restriction: open to BBA, BBE, BCB and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member"
Note: topic to be chosen in consultation with the supervising faculty member.,OPER 4V90-4V99
Topics in Operations Management,Courses in specialized areas within the discipline.
"Restriction: open to BAcc, BBA, BBE and combined Business majors until date specified in Registration guide. Students must have a minimum of 13.5 overall credits.",OBHR 2P51
Basics of Organizational Behaviour and Design,"Micro and macro aspects of formal organizations from a behavioural perspective. Theories, research and current practices in the management of human resources and the design of organizations. Topics include motivation, leadership, group dynamics, organizational goals and effectiveness, environment and other contingencies and organizational culture."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 2P52
Basics of Human Resources Management and Industrial Relations,Importance of legislation and its relationship to rights and to various systems associated with both human resource management and employee's industrial relations in the workplace.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 2P91
Organizational Behaviour,"Micro aspects of formal organizations from a behavioural science perspective. Theories, research and current practices in the management of human resources. Topics may include motivation, leadership, group dynamics, interpersonal communication, conflict, stress management and organizational theory and design."
"Restriction: open to BAcc, BBA, BCB and combined Business majors. In Fall Term, open to BAcc, BAcc Co-op, BBA Co-op and EBS Double Degree majors until date specified in Registration guide. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 3P42,Organizational Structure and Redesign
"Building blocks of organizational architecture and current practices in organizational design and redesign. Topics may include the development of management thought, organizational effectiveness and efficiency, design challenges, alternative approaches to structural design, organizational development and change, power and politics in organizations, and organizational culture.","Restriction: open to BBA students approved to the Human Resource Management concentration and General Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 3P96
Labour Relations,"Labour management relations in Canada emphasizing the collective bargaining process, the grievance and arbitration process and other aspects of collective agreement administration."
"Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 3P97,Human Resource Management
"Recruitment, selection and training, wage and salary administration and the design and administration of benefit programs.","Restriction: open to BAcc, BBA, BCB and combined Business majors. In the Winter Term open to BBA Co-op and EBS Double Degree majors until date specified in Registration guide."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 3P98
Occupational Health and Safety,"Legal, technical and management issues regarding employee health and safety."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*OBHR 3P99
Research Methods in Organization Studies,"Techniques and methods of conducting reliable and valid research including theory and hypothesis testing, measurement, survey and experimental design, and quantitative and qualitative research methods. Emphasis on understanding and critical evaluation of empirical research in organizational behaviour, human resource management, entrepreneurship and other fields in organization studies."
"Restriction: open to BBA students approved to the Human Resource Management concentration and Entrepreneurship concentration until the date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4F90,Research Topic
Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.,Restriction: open to BBA and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member.
"Note: topic to be chosen in consultation with the supervising faculty member. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 4P65
Negotiating in Organizations,"Causes and consequences of conflict in organizations, and strategies and tactics to manage conflict. Emphasis on the use of bargaining and negotiation skills to manage conflict and resolve disputes."
"Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4P66,Compensation Management
"Compensation theory and practice, design and administration of compensation and reward systems. Pay and benefits determination; job and market evaluation; use of individual, group and organizational incentives.","Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 4P67
Training and Development,"Three sequential steps in the training and development process in organizations: assessment of training needs, development and implementation of the training program and evaluation of the training program. Training methods used in employee orientation, skill training and management development in the context of adult education."
"Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4P68,Leadership
Theoretical and practical aspects of leadership to familiarize students with personal leadership capacities.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4P69,Recruitment and Selection
"Personnel selection, placement and performance evaluation in organizations in the context of human rights/equal employment legislation. Recruitment and selection strategies and the validation of selection, placement and performance evaluation practices.","Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 4P72
Labour Law,"Federal and provincial labour statutes, the practices of federal and provincial labour relations boards and ministries of labour and the common law of employer employee relations. The impact of these statutes, regulations, boards and ministries on management, unions and employees."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 4P90
International Organizational Behaviour,"Understanding behaviour in global organizations. Topics may include cultural differences, managing decision-making and personnel transitions, international negotiations and organization design for global competition."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 4P91
Research Topic,Directed study and research under the supervision of a faculty member in an area in which the student has shown particular competence.
Restriction: open to BBA and combined business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising Faculty member.,"Note: topic to be chosen in consultation with the supervising faculty member. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4P93,Leading Change
"Theories, research and practice in the area of organizational change emphasizing the organization as a whole and the interdependency of its elements.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4P94,Human Resources Planning
"Human resource strategies and their support of organizational strategies. Identification of business strategies, determination of appropriate human resource strategies, assessment of current human resource assets and planning future human resource requirements of the firm.","Restriction: open to BBA students approved to the Human Resource Management concentration until the date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",OBHR 4P95
Managing a Diverse Workplace,Diversity theories; opportunities and dilemmas managers face when working with diverse populations.
"Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA and combined Business majors. Students must have a minimum of 10.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4P96,Labour Arbitration
"Issues faced by employees, union representatives, supervisors and managers in the day-to-day administration of collective agreements. Types of disputes include discipline and discharge, seniority related disputes, compensation, management rights and the reasons why some complaints cannot be decided by arbitrators.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
OBHR 4V90-4V99,Topics in Organizational Behaviour and Human Resources
Courses in specialized areas within the discipline.,"Restriction: open to BBA, BBE and combined Business majors with a minimum of 10.0 overall credits."
"Note: may be offered on-site, online or blended.",OBHR 4V98
2020-2021: HR Analytics,"Evidence-based approach to HRM. Introduction to theory, concepts, and business application of human resources research, data, metrics, systems, analyses and reporting."
"Restriction: open to BBA students approved to the Human Resource Management concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PMPB 6F20,Preparing for Business Graduate Studies in Canada
"Introduction to the academic expectations in Canada, focusing on tools to effectively transition to graduate studies. Development of critical thinking and study skills to achieve academic success. Multiple approaches to problem solving through theoretical concepts, case studies, and applied business practice.",Restriction: open to Professional Masters Preparation Certificate-Business students.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PMPB 6F21
Writing for Business Purposes,"Development of writing skills to enhance clarity and expression of ideas. Focus on writing as a process from prewriting through proofreading. Overview of specific writing patterns and models of successful academic writing, including accurate referencing, and avoidance of plagiarism. Steps of planning and producing effective business documents, both print and electronic."
Restriction: open to Professional Masters Preparation Certificate-Business students.,"Note: weekly grammar tutorials will be held. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PMPB 6F22,Listening and Speaking for Business Purposes
"Preparation for listening and note-taking in an academic environment. Development of ability and confidence to communicate in academic and professional settings, asking and responding to questions, seeking clarification, leading discussions, and engaging in impromptu conversations. Exploration of the practical skills of public speaking and development of presentation skills.",Restriction: open to Professional Masters Preparation Certificate-Business students.
"Note: weekly pronunciation tutorials will be held. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PMPB 6P12
Business Student Success,"Examination of topics in human relations and development of interpersonal skills to increase overall success in business career. Tools to understand and manage self, effectively deal with other people and get ahead in future career. Completion of self-assessments, skills exercises, case studies, critical reflections, and volunteer work to maximize learning and development of soft skills essential for today's workplace."
Restriction: open to Professional Masters Preparation Certificate-Business students.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PMPB 6P23,Reading for Business Purposes
"Comprehension of university-level reading to understand ideas from academic and business texts, analyzing, synthesizing, and evaluating information from varied sources. Development of critical reading skills and academic and business vocabulary through authentic material and scaffolded practice. Skills to become an independent reader and monitor own reading process.",Restriction: open to Professional Masters Preparation Certificate-Business students.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ACCC 0N01
Work Placement I,First co-op work placement (4 months) with an approved employer.
Restriction: open to BAcc Co-op students.,ACCC 0N02
Work Placement II,Second co-op work placement (4 months) with an approved employer.
Restriction: open to BAcc Co-op,ACCC 0N03
Work Placement III,Third co-op work placement (4 months) with an approved employer.
Restriction: open to BAcc Co-op students.,ACCC 0N04
Work Placement IV,Optional co-op work placement (4 months) with an approved employer.
Restriction: open to BAcc Co-op students.,ACCC 0N05
Work Placement V,Optional co-op work placement (4 months) with an approved employer.
Restriction: open to BAcc Co-op students.,ACCC 0N90
Co-op Professional Preparation,"Provides students with the tools, resources and skills to maximize co-op employment and professional development opportunities."
Restriction: open to BAcc Co-op students.,ACCC 2C01
Co-op Reflective earning and Integration I,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented wo experiences at employer sites.
Restriction: open to BAcc Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and re successful work term performance evaluation."
ACCC 2C02,Co-op Reflective Learning and Integration II
Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.,Restriction: open to BAcc Co-op students.
"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive successful work term performance evaluation.",ACCC 2C03
Co-op Reflective Learning and Integration III,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.
Restriction: open to BAcc Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive successful work term performance evaluation."
ACCC 2C04,Co-op Reflective Learning and Integration IV
Provide student with the opportunity to apply what they've learning in their academic studies through career-oriented work experiences at employer sites.,Restriction: open to BAcc Co-op students.
"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive successful work term performance evaluation.",ACCC 2C05
Co-op Reflective Learning and Integration V,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.
Restriction: open to BAcc Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive successful work term performance evaluation."
ADMI 0N11,Work Placement I
First co-op work placement (4 months) with an approved employer.,Restriction: open to BBA Co-op students.
ADMI 0N12,Work Placement II
Second co-op work placement (4 months) with an approved employer.,Restriction: open to BBA Co-op students.
ADMI 0N13,Work Placement III
Third co-op work placement (4 months) with an approved employer.,Restriction: open to BBA Co-op students.
ADMI 0N14,Work Placement IV
Optional co-op work placement (4 months) with an approved employer.,Restriction: open to BBA Co-op students.
ADMI 0N15,Work Placement V
Optional co-op work placement (4 months) with an approved employer.,Restriction: open to BBA Co-op students.
ADMI 0N90,Co-op Professional Preparation
"Provides students with the tools, resources and skills to maximize co-op employment and professional development opportunities.",Restriction: open to BBA Co-op students.
ADMI 2C01,Co-op Reflective Learning and Integration I
Provide student with the opportunity to apply what they've learned in their academics studies through career-oriented work experiences at employer sites.,Restriction: open to BBA Co-op students.
"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive a successful work term performance evaluation.",ADMI 2C02
Co-op Reflective Learning and Integration II,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.
Restriction: open to BBA Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive a successful work term performance evaluation."
ADMI 2C03,Co-op Reflective Learning and Integration III
Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.,Restriction: open to BBA Co-op students.
"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive a successful work term performance evaluation.",ADMI 2C04
Co-op Reflective Learning and Integration IV,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.
Restriction: open to BBA Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit write a work term report and receive a successful work term performance evaluation."
ADMI 2C05,Co-op Reflective Learning and Integration V
Provide student with the opportunity to apply what they've learned in their academics studies through career-oriented work experiences at employer sites.,Restriction: open to BBA Co-op students.
