David Hutchison,Darlene Ciuffetelli Parker
"Examination of curriculum documents and resources. In-depth study of teaching strategies and skills required for planning, operation and development as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling/preparation, health and safety standards, use of tools/equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G26
The Teaching of Manufacturing Technology I (Grades 11 and 12),Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G27
The Teaching of Health Care I (Grades 11 and 12),"Examination of curriculum documents and resources. In-depth study of required teaching strategies and skills. Processes of disease, factors contributing to health and well-being, and care skills required for children and older adults. Review legislation governing care of children and older adults, evaluate social programs and recreational activities, development of an awareness of health and safety issues, and environmental/social issues. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G28,The Teaching of Hairstyling and Aesthetics I (Grades 11 and 12)
"Examination of Ontario Ministry curriculum documents and resources. In-depth study of hair care/styling, make-up, manicures and personal hygiene. Development of instructional strategies for teaching cosmetology. Variety of applications that will equip students to provide services for diverse clientele. Considers environmental and societal issues related to the industry. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G29
The Teaching of Transportation Technology I (Grades 11 and 12),Examination of Ontario Ministry curriculum documents and resources. In-depth study of the teaching strategies and skills required. Expand awareness of environmental and societal issues related to transportation; and apprenticeship and college programs leading to careers in the transportation industry. Use practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of various vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities.
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G30,The Teaching of Computer Technology I (Grades 11 and 12)
"In-depth study of the teaching strategies and skills required. Examination of computer systems and the control of external devices including the assembly of computers and small networks, installing and configuring hardware and software. Function of key computer components and peripherals, logic gates, fundamental programming concepts, internal numbering and character representation systems, operating systems and networks. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G91
"Professionalism, Law and Principles of Teaching in Ontario I: Technological Education","Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics, and legal cases."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P02,"Integrating Teaching, Learning and Assessment Primary/Junior/Intermediate"
"Practical experiences teaching in schools. Connections between theory and course work to practicum emphasizing the topics relevant to the Ontario context (i.e., Aboriginal Education, Mental Health, Authentic Assessment and Reporting, English Language Learning, Instructional Strategies).",Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.
"Note: course credit will not be given without the successful completion of the in-school internship and practice teaching. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P03
Cognition and the Exceptional Learner Primary/Junior/Intermediate,"Integration of curriculum related to human development and exceptional learners. Topics include cognitive development, intellectual exceptionalities, memory, metacognition and learning strategies, behaviour, behavioural exceptionalities, and classroom management."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P07
French as a Second Language I Junior/Intermediate,Ontario Junior/Intermediate curriculum in French as a Second Language emphasizing practice and theory.
"Note: course credit will not be given without completion of a successful three-week supervised practicum in FSL teaching. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P08
French as a Second Language II Junior/Intermediate,"Ontario Junior/Intermediate curriculum in French as a Second Language emphasizing practice and theory, focusing on spontaneous oral interaction in meaningful contexts, action oriented tasks, unit planning through the lens of differentiated instruction, a range of instructional, assessment and evaluation strategies, and creating a positive learning environment to foster the development of language skills."
"Note: course credit will not be given without completion of a successful three-week supervised practicum in FSL teaching. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P09
Social Studies Primary/Junior,Introduction to the Social Studies curriculum for the Primary/Junior division. Conceptual foundations and instructional practices within the Ontario context.
"Note: materials fee required for all Hamilton Campus teacher candidates for a mandatory field trip. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P10
Social Studies Junior/Intermediate,Introduction to the Ontario Junior/Intermediate curriculum in Social Studies. Conceptual foundations and instructional practices within the Ontario context.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P15
"Introduction to Teaching, Learning and Schooling - Primary/Junior/Intermediate","Exploration of commonplaces of education, qualities of teaching and methods as related to the Ethical Standards and the Standards of Practice of the Ontario College of Teachers. Connections between theory, experience and reflective practices using narrative inquiry approaches. Progressive and constructivist theory and philosophy."
"Note: students have a field experience for which a Police record check with a vulnerable sector screening is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P16
"Student Assessment, Practice and Policy (Primary/Junior/Intermediate)","Basic concepts, skills and practices associated with classroom assessment, evaluation and reporting. Grounded in the purpose and principles of sound assessment, a range of assessment and evaluation methods and practices as explored within the Ontario context."
Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P24,Language and Literacy I Junior/Intermediate
"Introduction to the Ontario Junior/Intermediate curriculum in Language Arts. Topics may include literacy theories, young adult literature, literacy and assessment, planning, and classroom strategies and tools.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P27,Science and Technology Junior/Intermediate
Introduction to the Ontario Junior/Intermediate curriculum in Science. Knowledge and pedagogy including critiquing and re-imagining elementary science. Merging of practice and theory (praxis) of school science fundamentals essential to 21st-century learning.,"Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P29,Mathematics I Junior/Intermediate
"Introduction to the Ontario Junior/Intermediate curriculum in Mathematics. Focus on deeper understanding of mathematical content, processes and ideas. Concepts, and procedures that build and connect across the grades and strands.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P34,Language and Literacy I Primary/Junior
"Introduction to the Ontario Language Arts curriculum for the Primary/Junior division. Topics may include literacy theories, children's literature, literacy and assessment, planning, and classroom strategies and tools.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P35,Developmental Domains and the Exceptional Learner Primary/Junior/Intermediate
"Range of developmental domains intertwined with the characteristics of exceptional learners. Topics may include socioemotional development, mental health, communication exceptionalities, sociocultural diversity, and physical and multiple exceptionalities.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P37,Science and Technology Primary/Junior
"Knowledge and skills necessary to be a successful Primary/Junior science teacher. Merging practice and theory (praxis) of school science fundamentals essential to 21st-century learning. Topics may include scientific literacy, creativity and science (inquiry), the nature of science, and integration with environmental education.","Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P39,Mathematics I Primary/Junior
"Introduction to the Ontario Primary/Junior curriculum in Mathematics. Focus on deeper understanding of mathematical content, processes and ideas. Concepts, and procedures that build and connect across the grades and strands.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P40,Professional Collaborative Communities Primary/Junior/Intermediate
"Practical experiences teaching in schools. Small supervised, practicum-based collaborative groups that combine goal setting, professional practice and learning situated within the classroom context.","Note: successful completion of the in-school practice teaching is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P41,Practicum for Professional Collaborative Communities I Primary/Junior/Intermediate
"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Observation and practice teaching in field-based school placement.","Note: students will be guided in practice teaching for at least 6 weeks. Successful completion of the in-school practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P42,Language and Literacy II Primary/Junior
Building on prior in-school practicum experiences to prepare to teach Language Arts in the Primary/Junior divisions within the Ontario context.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P43,Language and Literacy II Junior/Intermediate
Building on prior in-school practicum experiences to prepare to teach Language Arts in the Junior/Intermediate divisions within the Ontario context.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P44,Mathematics II Primary/Junior
Current trends and research based issues in teaching and learning of mathematics focusing on the integration of content knowledge and pedagogy for Primary/Junior grades.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P46,Health and Physical Education Curriculum and Pedagogy Primary/Junior
"Twenty-first-century health and physical education, pedagogical content knowledge, the Primary/Junior curriculum, and relevant health and physical education theories and models. Influence of perceptions, self-efficacy, and personal biography on emerging planning and instructional choices/decisions.","Note: course fee required for mandatory Health and Physical Literacy conference. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P47,Practicum for Professional Collaborative Communities II Primary/Junior/Intermediate
"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Observation and practice teaching in field-based school placement.","Note: students will be guided in practice teaching for at least 6 weeks. Successful completion of the in-school practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P50,"Introduction to Teaching, Learning and Schooling Intermediate/Senior"
"Exploration of the complex relation between epistemology and teachers' practice. Introduction to critical frameworks for analyzing contemporary teaching and learning practices. Reflection upon values, beliefs and assumptions with reference to field experience.","Restriction: open to students admitted to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 9.5 overall credits."
"Note: students have a field experience for which a Police record check with a vulnerable sector screening is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P54
Mathematics II Junior/Intermediate,Current trends and research based issues in teaching and learning of mathematics focusing on the integration of content knowledge and pedagogy for the Junior/Intermediate grades.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P56
Health and Physical Education Curriculum and Pedagogy Junior/Intermediate,"Twenty-first-century health and physical education pedagogical content knowledge, the Ontario curriculum, and relevant health and physical education theories and models. Influence of perceptions, self-efficacy, and personal biography on emerging health and physical education planning and instructional choices/decisions in Junior/Intermediate classrooms."
"Note: course fee required for mandatory Health and Physical Literacy conference. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P57
Practicum for Professional Collaborative Communities II Primary/Junior/Intermediate,"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Observation and practice teaching in field-based school placement."
"Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs with a minimum 5.0 overall credits, P1 grade in practicum 1 and 2 and approval of program Director.","Note: students will be guided in practice teaching for four weeks in Ontario schools and two weeks at a school in an international setting. Students are expected to pay their own expenses. Students will complete additional mandatory workshops to prepare for the international teaching experience. Successful completion of the in-school practice teaching in Ontario is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P66,Practicum for Professional Collaborative Communities II Intermediate/Senior
Observation and practice teaching in field-based school placement.,"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits, a P1 grade in practicum 1 and 2 and approval of the program Director."
"Note: students will be guided in practice teaching for four weeks in Ontario schools and two weeks at a school in an international setting. Students are expected to pay their own expenses. Students will complete additional mandatory workshops to prepare for the international teaching experience. Successful completion of the in-school internship and practice teaching in Ontario is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P70
"Practicum for Professionalism, Law and Principles of Teaching in Ontario Intermediate/Senior","Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics and legal cases. Sessions divided between instructional methods and field experiences."
"Restriction: open to students admitted to the Intermediate/Senior program and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits.","Note: students will be guided in practice teaching for at least 12 weeks throughout the year. Course credit will not be given without the successful completion of the in-school internship and practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P71,"Student Assessment, Practice and Policy Intermediate/Senior"
"Basic concepts, skills, practices and emerging policies associated with student assessment and evaluation. Traditional and authentic assessment methods appropriate to Intermediate/Senior school settings.","Restriction: open to students admitted to the Intermediate/Senior program and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P72
"Cognition, Development and the Exceptional Learner Intermediate/Senior","Integration of curriculum related to human development and exceptional learners. Topics include cognitive development, intellectual exceptionalities, memory, metacognition and learning strategies, behaviour, behavioural exceptionalities, and classroom management."
"Restriction: open to students admitted to the Intermediate/Senior program and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P73,ICT for Teaching and Learning: Intermediate/Senior
"Use of technology focusing on teacher technological, pedagogical and content knowledge (TPACK). Models of teaching for face-to-face, blended, and online environments.","Restriction: open to students admitted to the Intermediate/Senior program and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P74
Professional Collaborative Communities Intermediate/Senior,"Small supervised, practicum-based collaborative groups that combine goal setting, professional practice and learning situated within the classroom context."
"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits.","Note: successful completion of the in-school practice teaching is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P75,Practicum for Professional Collaborative Communities I Intermediate/Senior
Observation and practice teaching in field-based school placement.,"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits."
"Note: students will be guided in practice teaching for at least 12 weeks throughout the year. Successful completion of the in-school internship and practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P76
Practicum for Professional Collaborative Communities II Intermediate/Senior,Observation and practice teaching in field-based school placement.
"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits.","Note: students will be guided in practice teaching for at least 12 weeks throughout the year. Successful completion of the in-school internship and practice teaching is required. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P77,"Teaching, Research, and Education Inquiry Intermediate/Senior"
"Development of teachers as experts who employ educational research in their teaching and actively engage in research. Developing teacher awareness of and reflection about their own professional knowledge, values and skills as emerging teachers.","Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P78
School and Society Intermediate/Senior,"Critical perspectives on the socio-cultural dimensions of schooling and society combined with practical approaches to equity, inclusion and social justice."
"Restriction: open to students admitted to the Intermediate/Senior program and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P82,Teaching History II Intermediate/Senior
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P83
Teaching English II Intermediate/Senior,Connecting prior curriculum knowledge and instructional approaches examined in Teaching English I Intermediate/Senior.
"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and a declared English teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits and a declared English teachable.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P84,Teaching French as a Second Language II Intermediate/Senior II
Connecting prior curriculum knowledge and instructional approaches examined in Teaching French as a Second Language I Intermediate/Senior.,"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and a declared French teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits and a declared French teachable."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P85
Teaching Visual Arts II Intermediate/Senior,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P86,Teaching Geography II Intermediate/Senior
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P87
Teaching Drama II Intermediate/Senior,Connecting prior curriculum knowledge and instructional approaches examined in Teaching Drama I Intermediate/Senior.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P88
Teaching Science - Biology II Intermediate/Senior,"Connecting prior curriculum knowledge and instructional approaches examined in Teaching Science - Biology I Intermediate/Senior. Expanding and applying the understanding of learners, instructional practices, Ontario curriculum, and the science profession furthering professional preparation for teaching intermediate science and senior biology in schools."
"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and a declared Science-Biology teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits and a declared Science-Biology teachable.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P89,Teaching Science - General II Intermediate/Senior
"Connecting prior curriculum knowledge and instructional approaches examined in Teaching Science - General I Intermediate/Senior. Expanding and applying the understanding of learners, instructional practices, Ontario curriculum, and the science profession furthering professional preparation for teaching intermediate and senior science in schools.","Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and a declared Science-General teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits ad a declared Science-General teachable."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P90
Teaching Science - Chemistry II Intermediate/Senior,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P91,Teaching Science - Physics II Intermediate/Senior
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8P92
Teaching Mathematics II Intermediate/Senior,"Connecting prior curriculum knowledge and instructional approaches examined in Teaching Mathematics I Intermediate/Senior. Expanding and applying the understanding of learners, instructional practices, Ontario curriculum, and the mathematics profession furthering professional preparation for teaching intermediate and senior mathematics in schools."
"Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and a declared Mathematics teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits and a declared Mathematics teachable.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8P93,Teaching Health and Physical Education II Intermediate/Senior
"Expanding understandings and application of physical education, physical activity, health education, and health promotion research, theories and models in practice. Exploring the relation between the application of pedagogical content knowledge and intermediate and senior students' physical, emotional, intellectual, and social needs/development within the context of health and physical education classrooms.","Restriction: open to students admitted to the Intermediate/Senior program with a minimum 5.0 overall credits and a declared Health and Physical Education teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 26.0 overall credits and a declared Health and Physical Education teachable."
"Note: course fee required for mandatory Health and Physical Literacy conference. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R10
Special Topics in Technological Education,"Enriched and expanded engagements with topics such as Aboriginal education, coaching, environmental education, international teaching, middle school teaching and urban education."
Restriction: open to students admitted to the Technological Education program.,"Note: speakers will present workshops and activities addressing current Provincial programs. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R11,The Teaching of Green Industries II (Grades 9 and 10)
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R12,The Teaching of Communications Technology II (Grades 9 and 10)
"Further study from a media perspective including the areas of television/video and movie production, radio and audio production, print and graphic communications, photography, and interactive new media and animation. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R13
The Teaching of Construction Technology II (Grades 9 and 10),"Further study of the practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Creating, reading and understanding working drawings; becoming familiar with common construction materials, components, and processes; perform a variety of fabrication, assembly, and finishing operations. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R14,The Teaching of Technological Design II (Grades 9 and 10)
Further study of a variety of design processes that may be used in solving any technological challenge or problem. Builds on and forms a continuum with the grades seven and eight science and technology program and the grade nine Exploring Technology program. Exploration of secondary and post-secondary education pathways and career opportunities.,Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R15
The Teaching of Hospitality and Tourism II (Grades 9 and 10),"Further study of curriculum documents and resources. Overview of hospitality and tourism areas, as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling and preparation, health and safety standards, use of tools and equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R16,The Teaching of Manufacturing Technology II (Grades 9 and 10)
"Further study of teaching strategies and skills; design and fabricate products using a variety of processes, tools, and equipment. Processes include technical drawing, properties and preparation of materials, and manufacturing techniques. Projects may include a robotic challenge, design challenge or fabrication project involving machining, welding, vacuum forming, injection moulding. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R17
The Teaching of Health Care II (Grades 9 and 10),"Further study of health promotion, child/adolescent health concerns, and a variety of medical services, treatments, technologies, biotechnology, home care, dental care, nursing fundamentals, dietary study and rules, exercise and disease prevention. Exploring secondary and post-secondary education pathways and career opportunities including apprenticeships and direct-entry work positions."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R18,The Teaching of Hairstyling and Aesthetics II (Grades 9 and 10)
"Further study of hairstyling, make-up and nail care techniques from a salon/spa perspective. Usage of materials, processes and techniques used in the industry. Teaching of fundamental skills in hairstyling, giving manicures and facials, and providing hair/scalp analyses and treatments. Exploring secondary and post-secondary education pathways and career opportunities including apprenticeships and direct-entry work positions.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R19
The Teaching of Transportation Technology II (Grades 9 and 10),"Further study of required teaching strategies and skills. Topics include servicing and maintenance of vehicles, aircraft, and/or watercraft. Development of knowledge and skills in construction and operation of vehicle/craft systems and maintenance/repairs. Use of practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8R20,The Teaching of Computer Technology II (Grades 9 and 10)
"Further study of teaching strategies and skills required, focusing on computer systems, networking, and interfacing, electronics and robotics. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8R21
The Teaching of Green Industries II (Grades 11 and 12),"Further study of teaching strategies and skills required, focusing on computer systems, networking, and interfacing, electronics and robotics. Exploration of secondary and post-secondary education pathways and career opportunities."
