name,contingent,hometown,type,sport,age,height,weight,PreviousGame1,PreviousGame2,PreviousGame3,PreviousGame4,PreviousGame5,url,PreviousGameYear1,PreviousGameYear2,PreviousGameYear3,PreviousGameYear4,PreviousGameYear5,,,,,,
Marlene Boissonnault,New Brunswick,Dundee,Athlete,Hockey,"17""","5'10''""","180""",None,None,,,,,,,,,,,,,,,
Zacharie Boissonnault,New Brunswick,Campbellton,Athlete,Biathlon,"19""","6'2''""","190lbs""",,,,,,,,,,,,,,,,,
Maya Boivin,Manitoba,Kenora,Athlete,Cross Country Skiing,"19""","5'5""""","134lb""",Canada Winter Games 2011,Manitoba Winter Games 2006 and 2010,,,,,,,,,,,,,,,
Brendan Bonello,Ontario,Mississauga Ontario,Athlete,Hockey,"15""","6'3""""","210 lbs.""",,,,,,,,,,,,,,,,,
Zachari Bolduc,Quebec,Laval,Athlete,Biathlon,"17""","178 cm""","150 lbs""",,,,,,,,,,,,,,,,,
Arianne Bonneau,Quebec,Montréal,Athlete,Figure Skating,"14""","63 pouces""","110 lbs""",,,,,,,,,,,,,,,,,
Christina Bonnetrouge,Northwest Territories,Fort Providence,Athlete,Badminton,"17""","5'7""",",Canadian National Aboriginal Championships (2013)""",Canada Winter Games (2014),North American Indigenous Games (2014),,,,,,,,,,,,,,,
Spencer Bonnetrouge,Northwest Territories,"Fort Providence N,T",Athlete,Badminton,"18""","6'0""","155lbs""",Arctic Winter Games 2014. NAIG 2014,,,,,,,,,,,,,,,,
Madison Joy Elizabeth Bonsel,Alberta,,Athlete,Ringette,"17""",",",,,,,,,,,,,,,,,,,,
Jasey Book,Saskatchewan,Loreburn,Athlete,Hockey,"16""","5'4""""","125""",,,,,,,,,,,,,,,,,
Caleb Boorse,Alberta,"Red Deer, Alberta",Athlete,Curling,"17""","5'10""""","150lbs""",2012 Alberta Winter Games,,,,,,,,,,,,,,,,
Lyndsey Taylor Boorse,Yukon,Whitehorse,Athlete,Freestyle Skiing,"17""","5ft 1in""","175 lbs""",,,,,,,,,,,,,,,,,
Novie Bordey,Northwest Territories,,Athlete,Badminton,"17""",",",,,,,,,,,,,,,,,,,,
Sam Borges,Ontario,Brampton,Athlete,Gymnastics,"18""","5'0""""","120 lbs""",,,,,,,,,,,,,,,,,
Jaden Bos,Alberta,Calgary Alberta,Athlete,Snowboard,"16""","5'11""","145""",Alberta Winter Games 2010 and 2012,,,,,,,,,,,,,,,,
Kyle Bosch,Saskatchewan,Kindersley,Athlete,Hockey,"16""","5'10""""","155""",,,,,,,,,,,,,,,,,
Davey Boschmann,Manitoba,Winnipeg,Athlete,Gymnastics,"13""","60.5 inches""","98 lbs""",Manitoba Open - 2010-2014,Western Canadian Gymnastics Championship - 2013 and 2014,,,,,,,,,,,,,,,
Mitch Bossaer,Saskatchewan,Saskatoon,Athlete,Wheelchair Basketball,"20""","184cm""","160lbs""",2011 Halifax Canada Winter Games,,,,,,,,,,,,,,,,
Ryan Boswall,Prince Edward Island,Cornwall,Athlete,Hockey,"16""","5'10""""","155 lbs""",n/a,n/a,,,Jeux de quebec regionaux 2013 : Medaille d'or,Invitation pierrette vaillant 2014 et 2014 : Medaille d'or,Invitation Terrebonne 2013 et2014 : Medaille d'or,Et encore plus,Champ.Star/ michel-Proulx 2012 S.Q.: medaille d'or,Finale provinciale- 2012 : medaille d'or,Invitation Terrebonne 2012 : Medaille d'or,Invitation Pierrette Vaillant -Pierre 2012 : Medaille d'or,Finale regionale jeux du quebec 2011 : Medaille d'or,Finale provinciale -jeux du quebec 2011 : Medaille d'or,,,
Cody Botham,Saskatchewan,Saskatoon,Athlete,Freestyle Skiing,"17""","5'10""""","150lb""",Alberta Provincial Freestyle Championships (2013/2014),Saskatchewan Provincial Bantam Football Championships (2011),,,,,,,,,,,,,,,
Emanuel Bou Lutfallah,Quebec,Batroun,Athlete,Figure Skating,"20""",",74 kg",jeux de Montreal 2014 : Medaille d'or,Champ.Star/ Michel Proulx2014 S.Q.element: medaille d'argent,Champ.Star Michel Proulx couple 2014 : medaille d'or,Champ.Star Michel Proulx Solo 2014 Solo Medaille d'or,Champ.Star/Michel Proulx 2013 solo : Medille d'obr,,,,,,,,,,,,,
Amélia Bouaziz,Quebec,Amos,Athlete,Snowboard,"16""","5 pied 3""","120 lbs""",aucun,aucun,,,,,,,,,,,,,,,
Julie Bouchard Doyon,Quebec,Québec,Athlete,Speed Skating,"16""","5'8""","160 lbs""",Je n'ai jamais participé aux Jeux du Canada,Jeux du Québec 2011 et 2013,,,,,,,,,,,,,,,
Philippe Boucher,Quebec,Lévis,Athlete,Cross Country Skiing,"17""","5pi7""","140 lbs""",Jeux du Québec 2011 et 2013,,,,,,,,,,,,,,,,
jasmine Boucley,Quebec,Baie-d'urfé,Athlete,Squash,"13""","152 cm""","41 k""",Aucuns,Aucuns,,,,,,,,,,,,,,,
Sebastien Boucley,Quebec,Montreal,Athlete,Squash,"18""","6 2""","200lb""",None,None,,,,,,,,,,,,,,,
André Boudreau,Prince Edward Island,Elmwood,Athlete,Biathlon,"17""","6'1""","170""",,,,,,,,,,,,,,,,,
Andrew Boudreau,New Brunswick,Belledune,Athlete,Figure Skating,"13""","5'3""""","114lbs""",,,,,,,,,,,,,,,,,
Lucas Boudreau,Prince Edward Island,elmwood,Athlete,Biathlon,"17""","6'2""","175""",none,none,,,,,,,,,,,,,,,
Malika Boudreau,New Brunswick,Petit-Rocher,Athlete,Figure Skating,"15""",",",,,,,,,,,,,,,,,,,,
Samantha Boughner,Ontario,Toronto,Athlete,Alpine Skiing,"15""","5' 4""""","120 lbs.""",2013 Ontario Winter Games,,,,,,,,,,,,,,,,
Nadia Bouillon,Ontario,Chelmsford,Athlete,Figure Skating,"22""","5'1""""","118 lbs""",OSO Provincials,N/A,,,,,,,,,,,,,,,
Meghan Boulanger,Manitoba,Grande Pointe,Athlete,Gymnastics,"17""","5'3""""","120""",Western Canadian Gymnastics Championships 2010-2014,Canadian Gymnastics Championships 2012-2014,WCSG 2011,,,,,,,,,,,,,,
Bailee Bourassa,Saskatchewan,Weyburn,Athlete,Hockey,"16""","5'7""""","130""",None,Esso Cup 2014-2015 final game.,,,,,,,,,,,,,,,
Jaime Bourbonnais,Ontario,Mississauga,Athlete,Hockey,"16""","5'7""""","125 lbs.""",Ontario Summer Games for Field Hockey in 2011,Field Hockey National Championships with Team Ontario in 2012,"May, August and December U18 Team Canada Selection Camps",,,,,,,,,,,,,,
Danny Bourgeois,Quebec,Rosemère,Athlete,Snowboard,"19""","5""9""","185lbs""",Junior world championships 2013 in Turkey,Junior world championships 2014 in Italy,University games 2013 in Italy,,,,,,,,,,,,,,
Pierre Bourgoin,New Brunswick,Grand Falls,Athlete,Hockey,"16""","5`9""","145""",2014-2015 Member of the Rothesay Netherwood Prep School Varsity Boys team.,2012-2013 Member of Bantam AAA Bulls Atlantic Champions and NB Champions,2011-2012 NB Pee Wee AAA Champions,,,,,,,,,,,,,,
Isaac Bourque,Prince Edward Island,"Stratford, PEI",Athlete,Gymnastics,"11""","4ft9""","90lbs""",,,,,,,,,,,,,,,,,
yves bourque,Quebec,,Athlete,Cross Country Skiing,"49""",",",,,,,,,,,,,,,,,,,,
Ava Boutilier,Prince Edward Island,,Athlete,Hockey,"15""",",",,,,,,,,,,,,,,,,,,
hailey ann francis boutilier,Nova Scotia,glace bay,Athlete,Judo,"17""","5'5''""","106lbs""",n/a,n/a,,,,,,,,,,,,,,,
Shane Bowers,Nova Scotia,Herring Cove,Athlete,Hockey,"15""","6 '0 """"","165""",2010 PeeWee Lacrosse Nationals - Whitby Ontario,,,,,,,,,,,,,,,,
Lauren Victoria Bowman,Alberta,Calgary,Athlete,Hockey,"17""","5'4""","135""",Alberta Winter Games 2012,ATB Cup 2013,,,,,,,,,,,,,,,
Seamus Boyd-Porter,Newfoundland and Labrador,St. John's,Athlete,Biathlon,"20""","5'6""""","145""","Noram cups 2013, 2014","Nationals 2011, 2012,2013,2014","Easterns 2012, 2013, 2014",2013 Summer Games (Mountain Biking),,,,,,,,,,,,,
Seamus Boyd-Porter,Newfoundland and Labrador,St. john's,Athlete,Cross Country Skiing,"20""","5'6""""","145""",Summer Games- 2013,,,,,,,,,,,,,,,,
Simon Cazimir Boyko,Ontario,Mississauga,Athlete,Hockey,"16""","5'9""""","165 lbs.""",Team Ontario - Lacrosse - Peewee National - 2011,Sixth Annual Scotiabank Top Prospects Game - 2014,OHL Gold Cup 2013-2014,GTHL Minor Midget Championships 2013-2014,,,,,,,,,,,,,
Mackenzie Boys-Eddy,Ontario,Brampton,Athlete,Figure Skating,"16""","5'9""""","180lbs""",2014 Ontario Winter Games,,,,,,,,,,,,,,,,
Victoria Boyle,Nova Scotia,Halifax,Athlete,Synchronized Swimming,"15""","5'10""""","140 lb""",Canada Games 2102 - Synchronized Swimming,,,,,,,,,,,,,,,,
Olivia Boys-Eddy,Ontario,Brampton,Athlete,Figure Skating,"12""","4'7""""","70 lbs.""",2014 Ontario Winter Games,,,,,,,,,,,,,,,,
Tess Bracken,Manitoba,Winnipeg,Athlete,Hockey,"17""","5'7""""","148 lbs""",2013 Women's Hockey U18 Championships,,,,"15""","6'1""""","170 lbs.""",,,,,,,,,,
Matt Braga,Yukon,Whitehorse,Athlete,Hockey,"16""","5'6""""","145""",,,,,,,,,,,,,,,,,
Cassidy Jane Bradley,Nova Scotia,Halifax,Athlete,Speed Skating,"16""","5'4""""",",
Jakob Brahaney""",Ontario,Campbellford,Athlete,Hockey,,,,,,,,,,,,,
Joel Anthony Braganza,Alberta,,Athlete,Figure Skating,"15""","5'9""""","64 kg""",,,,,,,,,,,,,,,,,
Thomas Brenner,Yukon,Whitehorse,Athlete,Table Tennis,"14""","5'4""","110""",,,,,,,,,,,,,,,,,
Brooke Kacie Brimo,Quebec,Pierrefonds,Athlete,Synchronized Swimming,"18""","5'8""""","131 lbs""",Jeux du Québec (2009),,,,,,,,,,,,,,,,
Ian Briscoe,Manitoba,Winnipeg MB,Athlete,Hockey,"16""","5'10""""","165 lbs""",2014 Baseball Canada Cup (U17 Team Manitoba),2014 Power Smart Manitoba WInter Games,2012 Power Smart Manitoba Summer Games,2012 Quebe International PeeWee Hockey Tournament,,,,,,,,,,,,,
Ashley Bromley,Newfoundland and Labrador,Massey Drive,Athlete,Hockey,"17""","5'9""""","140lbs""",NL Winter Games 2014,,,,,,,,,,,,,,,,
Anna Broaders,Newfoundland and Labrador,Paradise,Athlete,Synchronized Swimming,"16""","5""","9""","Provincial and Atlantics, Canadian qualifiers ( 2007- present)",,,,,,,,,,,,,,,,
Josh Brook,Manitoba,"Roblin, MB",Athlete,Hockey,"15""","6''""","168""",Manitoba Winter Games (2014),,,,,,,,,,,,,,,,
Berkley Brown,Ontario,Aurora,Athlete,Freestyle Skiing,"14""","5'5""""",",Ontario Winter Games 2010""",,,,,,,,,,,,,,,,,
Caitlin Brown,Alberta,,Athlete,Gymnastics,"21""",",",,,,,,,,,,,,,,,,,,
Josh Brown,Manitoba,Winnipeg,Athlete,Wheelchair Basketball,"14""","5'4 """"","140""",Saskatoon B Level Tournament 2014,,,,,,,,,,,,,,,,
Parker Brown,Ontario,Waubaushene,Athlete,Figure Skating,"15""","5'8""""","125 lbs""",Ontario Winter Game 2014,,,,,,,,,,,,,,,,
Keenan Brown,Manitoba,Winnipeg MB,Athlete,Archery,"21""","193 cm""","75 kg""",Manitoba Summer Games 2008,Canada Winter Games 2011,,,,,,,,,,,,,,,
Sara Brown,Saskatchewan,Saskatoon,Athlete,Wheelchair Basketball,"23""","5'5""","125""",,,,,,,,,,,,,,,,,
Shaelyn Brown,Alberta,"Lloydminster,AB",Athlete,Gymnastics,"14""",5ft,"2in""",",2012 canada national championships""","2012 western championships,",elite canada,provincial championships,,,,,,,,,,,,,
Catherine Brunelle,Quebec,Laval,Athlete,Freestyle Skiing,"17""","5pied3""","135 lbs""",aucun,aucun,,,,,,,,,,,,,,,
Kira Michaela Brunton,Ontario,"Sudbury, Ontario",Athlete,Curling,"15""","5'6""""","130 lb""",,,,,,,,,,,,,,,,,
Jessica Buchel,Manitoba,Winnipeg MB,Athlete,Squash,"16""","162cm""","135lbs""",,,,,,,,,,,,,,,,,
Skylar Buckle,Alberta,SPRUCE GROVE,Athlete,Alpine Skiing,"15""","5'4""""","128 LB""",ALBERTA WINTER GAMES 2012,"CANAM RACES 2013 & 2014 , PROVINCIAL CHAMPIONSHIPS 2010 TO 2014, WESTERN FINALS 2010- 2014",,,,,,,,,,,,,,,
Max Budgey,Nova Scotia,Truro,Athlete,Judo,"16""","180 cm""","66 kg""",,,,,,,,,,,,,,,,,
Mateo Buitrago,Saskatchewan,Bogotá,Athlete,Squash,"15""","5'11 ft""","70 kg""",,,,,,,,,,,,,,,,,
Teodor Bularda,Ontario,Burlington,Athlete,Judo,"18""","193cm""","101kg""",N/A,N/A,,,,,,,,,,,,,,,
Emma Bulawka,Alberta,,Athlete,Figure Skating,"11""",",",,,,,,,,,,,,,,,,,,
Lonan Bulger,Northwest Territories,Yellowknife,Athlete,Hockey,"13""","5 Ft 3 In""","93 lbs""",,,,,,,,,,,,,,,,,
Karlee Burgess,Nova Scotia,Truro/Hilden,Athlete,Curling,"16""","5'4""""","125""",,,,,,,,,,,,,,,,,
Allison Burke,Nova Scotia,Cole Harbor,Athlete,Ringette,"18""","5'8""","150""","Canadian Ringette National Championships - 2010, 2011, 2014","Canadian Lacrosse National Championships - 2011, 2012,2013,2014","Canadian Paddling National Championships- 2008, 2009, 2010, 2011, 2012",,,,,,,,,,,,,,
Sophia Burke,Newfoundland and Labrador,St. John's,Athlete,Figure Skating,"14""","5'3""","121.6lbs""",NL Winter Games 2014,,,,,,,,,,,,,,,,
Miriam Burnett,Prince Edward Island,Charlottetown,Athlete,Speed Skating,"15""","5'5""","125 lbs""",,,,,,,,,,,,,,,,,
Jules Burnotte,Quebec,Sherbrook,Athlete,Biathlon,"18""","194 cm""","195 lb""",Jeux du Québec (2009-2011-2012(deux fois)),,,,,,,,,,,,,,,,
Stuart William Burns,Ontario,Kilbride,Athlete,Target Shooting,"15""","6'0""""","145 lbs.""",None,2014 Ontario Winter Games,,,,,,,,,,,,,,,
Erin Elizabeth Bursey,Nova Scotia,Sydney,Athlete,Judo,"17""","5'5""","63kg""",,,,,,,,,,,,,,,,,
Braden Burton,Alberta,Brooks,Athlete,Curling,"17""","5'9''""","130lbs""",,,,,,,,,,,,,,,,,
Emily Burton,Nova Scotia,Hammonds Plains,Athlete,Ringette,"17""","5'9""""","150""",Canadian Ringette Championship 2014,"Soccer Club Nationals 2010, 2011, 2013",All-Star Soccer Nationals 2013,,,,,,,,,,,,,,
Luke Burton,New Brunswick,Fredericton,Athlete,Squash,"16""","172 cm""","63 kg""",,,,,,,,,,,,,,,,,
Natasha Burton,Manitoba,Portage la Prarie,Athlete,Judo,"17""","5'4""""",,,,,,,,,,,,,,,,,,
"
Nathan Randall Burton""",Nova Scotia,Born in Calgary. Currently reside in the Halifax area.,Athlete,Archery,"16""","6' 1""""","170 lbs""",N/A,N/A,,,,,,,,,,,,,,,
Matthew John Butler,Yukon,Whitehorse,Athlete,Hockey,"16""","5'4'""","125""",None,None,,,North American Aboriginal Games August 2014 Track and Field,Nike Grand Prix April 2014 Track and field,Canada Cup April 2013 wrestling,,,,,,,,,,
Shannon Butler,Saskatchewan,Saskatoon,Athlete,Cross Country Skiing,"16""","5'10''""","135""","Saskatchewan Winter Games (2014, 2010)",Westerns (2013),,,,,,,,,,,,,,,
Katelyn Butts,Ontario,"Kingston, Ontario",Athlete,Target Shooting,"14""","5'6""""","150 lb.""",,,Eastern championship/atlantic cup 2014,Canada Games August 2013 wrestling,,,,,,,,,,,,,
Jesse Byrne,Newfoundland and Labrador,Stephenville,Athlete,Biathlon,"16""","5'10""""","175 lbs""",Cadet nationals 2014 and 2013,Canadian championship 2014,,,,,,,,,,,,,,,
Melissa Bzowey,Saskatchewan,"Prince Albert, SK.",Athlete,Alpine Skiing,"14""","5'4''""","100 lbs""",Saskatchewan Winter Games 2014,,,,,,,,,,,,,,,,
Kelsie Caine,Alberta,,Athlete,Ringette,"19""",",",,,,,,,,,,,,,,,,,,
Dani Cadieux,Manitoba,"Gladstone, Manitoba",Athlete,Freestyle Skiing,"16""","5'5""""","130lbs""",Canadian Junior Nationals 2012 and 2013,,,,,,,,,,,,,,,,
Ava Cairns-Locke,Yukon,Whitehorse,Athlete,Squash,"14""","5'4""","107""",2014- Arctic Winter Games - Snowshoeing,,,,,,,,,,,,,,,,
Mary Gesina Cairns,Northwest Territories,,Athlete,Target Shooting,"16""",",",,,,ESSO CUP 2012,SEE ABOVE,,,,,,,,,,,,,
ALEXANDRA CALDERONE,Quebec,KIRKLAND,Athlete,Hockey,"18""","5'3''""","135LBS""",JEUX DU QUEBEC 2010,NATIONALS 2014,,,,,,,,,,,,,,,
Alec Cameron,Nova Scotia,Halifax,Athlete,Curling,"16""","6'""","141lbs""",,,,,,,,,,,,,,,,,
Connor Cameron,Nova Scotia,Halifax,Athlete,Speed Skating,"14""","5.11""","169 lbs""",,,,,,,,,,,,,,,,,
Brad Cameron,Newfoundland and Labrador,,Athlete,Badminton,"22""","6'3""""","175lb""",,,,,,,,,,,,,,,,,
Jack Cameron,Nova Scotia,"Halifax, Nova Scotia",Athlete,Hockey,"15""","6'2""""","160 lbs""",n/a,n/a,,,,,,,,,,,,,,,
Mackenzie Cameron,Yukon,Whitehorse,Athlete,Squash,"13""","5'5''""","115""",,,,,NAHA Labour Day Tournament (2013 & 2014),Manon Rheaume Invitational (2013 & 2014),USA Canada Cup Series (Kitchener & Detroit) (2013 & 2014),America's Cup Chicago (2014),Washington Challenge Cup (2013 & 2014),Northwood Invitational Lake Placid (2014),,,,,,,
Caitlin Campbell,Prince Edward Island,Bedeque,Athlete,Biathlon,"18""","5'5""","138 lbs""",,,,,,,,,,,,,,,,,
Callie Campbell,Prince Edward Island,Bedeque,Athlete,Biathlon,"15""","5""10""","155""",,,Bantam Atlantic Championships (2013),Selects World Invitational (2012),,,,,,,,,,,,,
Emma Campbell,Prince Edward Island,"Stratford, Prince Edward Island",Athlete,Hockey,"15""","5'5""""","138 lbs""","Atlantic Challenge Cup (2012, 2013, & 2014)",Beantown Classic (2014),,,,,,,,,,,,,,,
Kaylee Campbell,Prince Edward Island,Miscouche,Athlete,Hockey,"18""","5'3""","125""",,,,,,,,,,,,,,,,,
Kristen Campbell,Manitoba,"Brandon, Manitoba",Athlete,Hockey,"17""","5'10""","175""",Manitoba Winter Games (2014),National Women's U18 Championship 2014,,,,,,,,,,,,,,,
Tyler Campbell,Manitoba,Winnipeg,Athlete,Hockey,"15""","5'8""""","155""",,,,,,,,,,,,,,,,,
Walker Campbell,New Brunswick,Bass River,Athlete,Hockey,"15""","5'9""","180""",Atlantic Challenge Cup 2012,,,,,,,,,,,,,,,,
Adam Capannelli,Quebec,Lasalle,Athlete,Hockey,"15""","5'09''""","180""","Soccer, natation (l'été 2014)","Soccer, natation (l'été 2014)",,,,,,,,,,,,,,,
Tommy Cardinal,Quebec,St-Étienne-de-Lauzon,Athlete,Hockey,"16""","5'10''""","169""",,,,,,,,,,,,,,,,,
Ethan Carey,Northwest Territories,Yellowknife,Athlete,Hockey,"14""","5' 11""""","158""",Arctic Winter Games in 2013,,,,,,,,,,,,,,,,
Jack Carlyle,Ontario,"Vancouver, BC",Athlete,Cross Country Skiing,"22""","6' 1/2""""","165 lbs.""",,,,,,,,,,,,,,,,,
Danielle Carnegie,Manitoba,Winnipeg,Athlete,Synchronized Swimming,"19""","5'2""""",,,,,,,,,,,,,,,,,,
",
Celine Caron""",Manitoba,Steinbach,Athlete,Hockey,"17""","5'3""","145""",u18 Nationals in Calgary,Manitoba Games - 2014,,High School Provincals 2014,,,,,,,,,,,,,
Audrey Caron,New Brunswick,Edmundston,Athlete,Judo,"16""","156 cm""","57 kg""",,,Para Nationals 2014,,,,,,,,,,,,,,
curtis caron,Nova Scotia,Halifax,Athlete,Table Tennis,"16""",5,"11""","138""",IWAS World junior Games 2014,,,,,,,,,,,,,,,
Dara Carr,Nova Scotia,Wolfville,Athlete,Alpine Skiing,"15""",",",,,,,,,,,,,,,,,,,,
Kyle William Carragher,British Columbia,Port Coquitlam,Athlete,Gymnastics,"17""","5'10""""","155""",,,,,,,,,,,,,,,,,
Natasha Lan Carr-Harris,British Columbia,Vancouver,Athlete,Table Tennis,"16""","5'7""""","130 lb""",,,,,,,,,,,,,,,,,
Sophie Carrier-Laforte,Quebec,,Athlete,Cross Country Skiing,"19""",",",,,,,,,,,,,,,,,,,,
Caeden Carruthers,New Brunswick,Fredericton,Athlete,Alpine Skiing,"13""","162cm""","106lb""","Can-Ams, sugarloaf maine (2014)",,,,,,,,,,,,,,,,
Sylvie Carruthers,Ontario,Cambridge,Athlete,Speed Skating,"17""","5'8 1/2""""","119 lbs.""",,,,,,,,,,,,,,,,,
Aaron Carter,Manitoba,Winnipeg,Athlete,Speed Skating,"17""","185cm""","165 lbs""",Alternate for Canada Summer Games for Cycling (2013),Alternate for Western Canada Games for Cycling (2011),,,,,,,,,,,,,,,
Sean Carter,Manitoba,Winnipeg,Athlete,Cross Country Skiing,"19""","6 ft""",",Halifax Canada Winter Games 2011""","Manitoba Winter Games 2006, 2010",,CanAm Championships,,,,,,,,,,,,,,
Larkin Casey,Ontario,"Collingwood, ON",Athlete,Alpine Skiing,"15""","5' 9""""","139 lbs.""",Whistler Cup,Ontario Provincials,,,,,,,,,,,,,,,
Thomas Casey,Prince Edward Island,Charlottetown,Athlete,Hockey,"14""","5'7""","154""",,,,,,,,,,,,,,,,,
Simon Arthur Cash,Yukon,Whitehorse,Athlete,Cross Country Skiing,"16""","6'2""","158 lbs""",AWG 2012,,,,,,,,,,,,,,,,
Jamie Casselman,Alberta,Cranbrook,Athlete,Alpine Skiing,"14""","6 feet""","147lbs""","Bc winter games 2012,2014",Bc summer games 2012,"Canadian Ringette Championships 2012,2013,2014",,,,,,,,,,,,,,
Sydney Catlin,Ontario,Carleton Place,Athlete,Ringette,"19""","5'5""""","135 lbs""",Ontario Winter Games 2012 and 2014,Ringette Worlds 2013/2014,,,,,,,,,,,,,,,
Amy Cave,British Columbia,Port Moody,Athlete,Speed Skating,"17""","5'9""""","150""",BC Winter Games 2012,,,,,,,,,,,,,,,,
Adonis Chaban,Saskatchewan,Saskatoon,Athlete,Figure Skating,"14""",",",Saskatchewan Games 2013 - Gold,,,,,,,,,,,,,,,,,
Jocktan Chainey,Quebec,Asbestos,Athlete,Hockey,"15""","6'00''""","190""",Jeux du Québec en 2013 au Saguenay,,,,,,,,,,,,,,,,
Adrien Chamberland-Mike,Manitoba,Winnipeg,Athlete,Squash,"17""","6 ft""","155 lbs""",Canada Winter Games (Halifax) 2011,,Sask Winter Games 2010,,,,,,,,,,,,,,
Simon Chambers Crease,Saskatchewan,Regina,Athlete,Cross Country Skiing,"17""","5'10""""","145 lb""",Canada Summer Games 2012,Sask Summer Games 2012,,,,,,,,,,,,,,,
Carter Chambers,Manitoba,Oak Bluff,Athlete,Speed Skating,"17""","5'6""""","150 lbs""",,,,,,,,,,,,,,,,,
Jakob Chambers,Alberta,Calgary,Athlete,Biathlon,"17""","5'11''""","175""",Alberta Winter Games (2010 and 2012),Canadian National Championships (2013 and 2014),,,,,,,,,,,,,,,
Susie Chambers,Northwest Territories,Yellowknife,Athlete,Hockey,"16""","5' 5""""","125 lbs""","2014 Arctic Winter Games, Fairbanks, Alaska",,,,,,,,,,,,,,,,
Sarah Chan,Manitoba,"Winnipeg, Manitoba",Athlete,Gymnastics,"19""","5'4''""","145 lbs""",,,,,,,,,,,,,,,,,
Tyler Champagne,Manitoba,Winnipeg,Athlete,Gymnastics,"15""","5'4""""","105""",,,,,,,,,,,,,,,,,
Kristin Chapman,Northwest Territories,Yellowknife,Athlete,Speed Skating,"15""","5""7'""","120""",Arctic Winter Games -2014 & 2012,,,,,,,,,,,,,,,,
Steven Chaplin,British Columbia,Mission,Athlete,Gymnastics,"18""","5'7""""","145 lbs""",2010 B.C Winter Games,,,• 6ième Stars& Stripes (Daytona) (1er en qualification) : mai,,,,,,,,,,,,,
AJ Charlie,Northwest Territories,Aklavik,Athlete,Hockey,"14""","5'7""""","140""",Arctic Winter Games 2014 - NWT Bantam Hockey,,• 5ième place au WAGC (Championnat du Monde par Groupe,,,,,,,,,,,,,,
Jérémy Chartier,Quebec,Montréal,Athlete,Gymnastics,"13""","5p5p""","120Lbs""",,2014,,,,,,,,,,,,,,,
Katie Chase,Nova Scotia,Dartmouth,Athlete,Target Shooting,"14""","5ft3""","130lbs""",,,,,,,,,,,,,,,,,
Marc Chassé,Nova Scotia,"Fall River, NS",Athlete,Snowboard,"19""","5ft 9""","155""",Participated in the 2011 Winter Games in PGS,,,,,,,,,,,,,,,,
Chloe Chemtob,Quebec,Montreal,Athlete,Squash,"17""","5'6""""","130 lbs""",Canada Games,Junior Pan American Games,,,,,,,,,,,,,,,
Cynthia Chen,Quebec,"Regina, Saskatchewan",Athlete,Badminton,"19""","1.75m""","140lbs""","Jeux du Québec (2009, 2011)",Jeux de la francophonie canadienne (2011),,,,,,,,,,,,,,,
Qufei Chen,Ontario,"Ottawa, Ontario",Athlete,Badminton,"20""","5'2""""","110 lbs""",2008 Ontario Winter Games,2010 Ontario Winter Games,,,,,,,,,,,,,,,
Kylie King Yan Cheng,British Columbia,Vancouver,Athlete,Badminton,"17""","5'4""""","53""",,,,,,,,,,,,,,,,,
Emily Chénier,Quebec,Gatineau,Athlete,Ringette,"16""","5'6""""","150lbs""",Championnat Canadien 2014,Championnat Canadien 2014,,,,,,,,,,,,,,,
Mikaela Lidia Cheslock,Ontario,Sudbury,Athlete,Curling,"16""","5""6""","105""",Ontario Winter Games (2014),,,,,,,,,,,,,,,,
Valerie Cheung,Alberta,,Athlete,Badminton,"18""",",",,,,Championnat Canadien de Ringuette 2013 (Nouveau-Brunswick),,,,,,,,,,,,,,
Camille Chiasson,Quebec,Salaberry de Valleyfield,Athlete,Ringette,"19""","164 cm""","120""",Jeux du Québec 2011,Championnat Canadien de Ringuette 2012 (Vancouver),,,,,,,,,,,,,,,
