name,contingent,hometown,type,sport,age,height,weight,PreviousGame1,PreviousGame2,PreviousGame3,PreviousGame4,PreviousGame5,url,PreviousGameYear1,PreviousGameYear2,PreviousGameYear3,PreviousGameYear4,PreviousGameYear5,,,,,,
Thierry Marcotte-Naud,Quebec,Saint-Eustache,Athlete,Curling,"17""",1,"135 lbs.""","155 lbs""",,Ontario Provincial Championships,,,,,,,,,,,,,,
Marie-ève Marcoux,Quebec,Laval,Athlete,Ringette,"18""","5'3""""","80""",,,,,,,,,,,,,,,,,
Kelly Mariani,Ontario,Mississauga,Athlete,Hockey,"17""",1,,Alberta Winter Games 2012,,,,,,,,,,,,,,,,
Maxime Marin,Quebec,Montréal,Athlete,Badminton,"22""",",","125""",Alberta Winter Games 2010,,2014 Canadian Ringette Championships,,,,,,,,,,,,,,
Alex Marineau,Quebec,,Athlete,Judo,"17""","5'4""""","75 kg""",,,,,,,,,,,,,,,,,
Dylan Marineau,Alberta,CALGARY,Athlete,Freestyle Skiing,"16""","180 cm""","135""",,Ontario Summer Games 2014 - Field Lacrosse,,,,,,,,,,,,,,,
Lukas Mark,Alberta,Edson,Athlete,Cross Country Skiing,"21""","5' 1 1/2""""","175""",Ontario Winter Games 2014 - Ringette,,,,,,,,,,,,,,,,
Michella Mark,Manitoba,Winnipeg,Athlete,Target Shooting,"15""","5'11""""","140 lbs.""",,,,,,,,,,,,,,,,,
Nick Mark,Manitoba,Winnipeg,Athlete,Target Shooting,"17""","5'8""""","178 lbs""","Alberta Winter Games, 2012",2014 Western Canadian Ringette Championships,,,,,,,,,,,,,,,
Erin Markle,Ontario,"Waterloo, Ontario",Athlete,Ringette,"16""","5' 11""""","150""",2013 Western Canadian Ringette Championships,,,,,,,,,,,,,,,,
Landon Markovich,Saskatchewan,Prince Albert,Athlete,Hockey,"16""","5'4""""","140lbs""",,,,,,,,,,,,,,,,,
Searik Markle,Alberta,Calgary,Athlete,Freestyle Skiing,"17""","5'5""""","123lbs""",,,Team Manitoba Ball Hockey Nationals 2014,,,,,,,,,,,,,,
Anna Markwart,Saskatchewan,"Emerald Park, SK",Athlete,Ringette,"14""","5'9""""","125""",Saskatchewan Winter Games 2010,,,,,,,,,,,,,,,,
Hana Susan Margaret Marmura,Nova Scotia,Antigonish,Athlete,Figure Skating,"17""","5'6""""","170lbs""",,,winter games 2014 ON,,,,,,,,,,,,,,
Teagan Cole Marsden,Alberta,Sherwood Park,Athlete,Gymnastics,"18""","5'7""""",,2014 Ontario Winter Games,,,,,,,,,,,,,,,,
Jessica Marsh,Saskatchewan,Saskatoon,Athlete,Speed Skating,"18""",",","130 lbs""",,,,,,,,,,,,,,,,,
Samantha Marsh,Newfoundland and Labrador,Mount Pearl,Athlete,Target Shooting,"20""","5'6''""","115lbs""",,Team Canada Ball Hockey Championships 2014,,,,,,,,,,,,,,,
Alex Marta,Ontario,Ottawa Ontario,Athlete,Alpine Skiing,"19""","5'4""""","130""",Manitoba Winter Games 2014,,,,,,,,,,,,,,,,
MacKayla Martell,Prince Edward Island,New Perth,Athlete,Ringette,"16""","5.8""","175""",Manitoba Games 2014,summer games 2014 and 2012 ON,,2013 High School Ultimate Frisbee Nationals,,,,,,,,,,,,,
Kirsten Martin,British Columbia,Rosedale,Athlete,Hockey,"17""","5' 11""""","180 lbs""",,Norman 2010,2011 U16 Lacrosse Nationals,,,,,,,,,,,,,,
Mason Martin,Manitoba,Winnipeg,Athlete,Hockey,"15""","5'11""","178lbs""",none,-,,,,,,,,,,,,,,,
Max Martin,Manitoba,"Winnipeg, Manitoba",Athlete,Hockey,"15""","5'7""""","163 LBS""",-,Junior National Wheelchair Basketball Championships - 2014,,,,,,,,,,,,,,,
Micheal Martin,Ontario,Vienna,Athlete,Target Shooting,"16""","5""11'""","110 lbs""",BC Games - 2014,,,Jeux du Québec 2012,,,,,,,,,,,,,
Nick Martin,Saskatchewan,Flin Flon,Athlete,Cross Country Skiing,"18""","158 cm""","140""",2012 Alberta Winter Games,,Jeux du Québec 2013,,,,,,,,,,,,,,
Raphaëlle Martin,Quebec,Québec,Athlete,Freestyle Skiing,"18""","5'10""""","125 lbs""",2010 Saskatchewan winter games,2012 U19 World Ringette Championships,,,,,,,,,,,,,,,
Riley Martin,British Columbia,Oliver BC,Athlete,Wheelchair Basketball,"22""","5'2""","173""","2009, 2010, 2011, 2012, 2013, 2014 Canadian Ringette Championship",,,,,,,,,,,,,,,,
Veronica Maschmeyer,Alberta,Bruderheim,Athlete,Curling,"16""","5'8""""",2011 Canada Winter Games,,Canada Winter Games 2011,,,,,,,,,,,,,,,
Bryce Martindale,Saskatchewan,Regina,Athlete,Judo,"18""",",","163 lbs.""",Arctic Winter Games 2012,N/A,,,,,,,,,,,,,,,
Kirsti Mason,Nova Scotia,Cole Harbour,Athlete,Ringette,"19""","5'9""""",Western Canada Summer Games 2011,N/A,Jeux du Québec 2012,,,,,,,,,,,,,,,
Cam Mason,Ontario,"London, ON",Athlete,Speed Skating,"17""",",","135lbs""",Jeux du Québec 2013,Skate Canada Challenge 2015,Alberta Summer Games:: 2008 in triathlon,,,,,,,,,,,,,,
Brittany Masson,Nunavut,Iqaluit,Athlete,Badminton,"20""","5'9""""","150 lb""","100lbs""",,,,,,,,,,,,,,,,
Evan Matatall,Northwest Territories,Yorkton,Athlete,Hockey,"13""","5 pi 11""","2in""",Jeux du Québec 2010,,,,,,,,,,,,,,,,
Benjamin Mathieu,Quebec,Montréal,Athlete,Alpine Skiing,"16""",5f,"95""",Jeux du Quebec,,Canada Summer Games 2013,,,,,,,,,,,,,,
Jill Matlock,Nova Scotia,Stellarton. NS,Athlete,Figure Skating,"14""","147cm""","180 lbs""",Manitoba Winter Games (2014),,,,,,,,,,,,,,,,
Lori-Ann Matte,Quebec,"Yongxiu, Chine",Athlete,Figure Skating,"15""","5'11""","178""",,"Alberta Winter Games: 2008 in long track speed skating, 2010 in short track speed skating",,,,,,,,,,,,,,,
ALYSON MATTEAU,Quebec,San jose,Athlete,Hockey,"17""","5'11""""","140 lbs.""",2013 Canada Summer Games: Triathlon (achieved 2 silver medals in team events),N/A,,,,,,,,,,,,,,,
Leif Mattson,Manitoba,"Stonewall, Manitoba",Athlete,Hockey,"15""","5' 6""""","140 pounds""",N/A,,,,,,,,,,,,,,,,
Natalie Maugeri,Ontario,Aurora,Athlete,Snowboard,"16""","6 feet""","65.9kg""",2014 Newfoundland Labrador Winter Games,Western Canada Games 2012,,,,,,,,,,,,,,,
Adeline Maunder,Alberta,"St. Albert, and now Calgary",Athlete,Speed Skating,"19""","183cm""","130""",Manitoba Games 2010,,,,,,,,,,,,,,,,
Gavin Maxwell,British Columbia,Victoria,Athlete,Squash,"17""","5'2""","130""",,,,,,,,,,,,,,,,,
Carley May,Newfoundland and Labrador,Corner Brook,Athlete,Alpine Skiing,"14""","5'5""","130""",,,,,,,,,,,,,,,,,
Genevieve May,Manitoba,Winnipeg,Athlete,Ringette,"19""","5'7""","155 lbs.""",2012 Alberta Summer Games (inline hockey),Whistler Cup(2012 and 2014),"Legion National Track & Field Championships 2013, 2014",,,,,,,,,,,,,,
Ashley Maynard,Nova Scotia,Halifax,Athlete,Ringette,"18""","5'7""""","175 lbs""",Saskatchewan Winter Games(2014),,,,,,,,,,,,,,,,
Zachary Mayne,Ontario,Thornbury,Athlete,Alpine Skiing,"15""","5'11""""","160""",,,,,,,,,,,,,,,,,
Logan Mazerolle,Alberta,Grande Prairie,Athlete,Hockey,"15""","5'7""""","145""",Arctic Winter Games 2014,,,,,,,,,,,,,,,,
Devin McAllister,Saskatchewan,North Battleford,Athlete,Alpine Skiing,"15""","5'7""","112""",,,,,,,,,,,,,,,,,
Jessica McBride,Manitoba,Virden,Athlete,Alpine Skiing,"15""","5""7""","135""",N/A,"CanAm 2012, 2013",,,Canadian National Gymnastics Championships 2010,,,,,,,,,,,,
Mary McBride,Yukon,Whitehorse,Athlete,Hockey,"16""","5'4""",N/A,Whistler Cup 2014,,,,,,,,,,,,,,,,
Caitlin McCabe,New Brunswick,Renous,Athlete,Hockey,"17""",",","135""",,,"CanAm 2014, 2013, 2012",,,,,,,,,,,,,,
Ben McCarthy,Nova Scotia,"Fall River, NS",Athlete,Gymnastics,"17""","5 ft 6 in""","130""",,International children's games 2011,,Canadian National Gymnastics Championships 2011,cwbl finals,,,,,,,,,,,,
Kelly McCardle,Prince Edward Island,"Stratford, PEI",Athlete,Alpine Skiing,"15""","5'7""","56 kg""",Bc winter games 2012,,Canadian National Gymnastics Championships 2012,,,,,,,,,,,,,,
Jessie McCarthy,Prince Edward Island,Montague,Athlete,Ringette,"18""","172 cm""","165""",,,,,,,,,,,,,,,,,
Maggie McClure,Nova Scotia,Halifax,Athlete,Cross Country Skiing,"16""","5'9""","156 lbs.""",Arctic Winter Games 2013,,,,,,,,,,,,,,,,
Abigail McCluskey,British Columbia,Penticton,Athlete,Speed Skating,"18""","5 Ft. 6""","120""",,"Whistler Cup 2013, 2012",great lakes finals,,,,,,,,,,,,,,
Kail McCluskey,Manitoba,Osborne,Athlete,Wheelchair Basketball,"16""","5'6""","147""",OFFSA 2014,,,,,,,,,,,,,,,,
Haley McConnell,Yukon,Whitehorse,Athlete,Hockey,"13""","5'9""""","178 lbs.""",,Canadian National Gymnastics Championships 2013,,,,,,,,,,,,,,,
Adam McCormick,New Brunswick,Woodstock,Athlete,Hockey,"14""","6'2""""","125lbs""",Canadian National Gymnastics Championships 2014,,,,,,,,,,,,,,,,
Declan McCormack,Ontario,Toronto,Athlete,Alpine Skiing,"15""","5ft10""""","165lb""",n/a,,,,,,,,,,,,,,,,
Noah McCoy,New Brunswick,"Fredericton, N.B.",Athlete,Gymnastics,"15""","5'10''""","155""",,eastern regionals 2012,,,,,,,,,,,,,,,
Findlay Stuart McCormick,Alberta,"Ponoka, AB",Athlete,Gymnastics,"17""","5'9""""","112 lbs""",Junior regionals 2014,,,,,,,,,,,,,,,,
Jesse McCuaig,Yukon,Whitehorse,Athlete,Hockey,"15""","5'2""""","170lb""",Quebec International PeeWee Tournoi 2012 - SIlver medalsist,"Ontario Winter Games, 2014",,,,,,,,,,,,,,,
Elizabeth Jane McCullum,Northwest Territories,"Yellowknife, NT",Athlete,Target Shooting,"17""","6'3""","175 lbs""",2014 Ontario Winter Games,National Women's U18 Hockey Championship 2013,,,,,,,,,,,,,,,
Aaron McDonald,Ontario,"Hamilton, ON",Athlete,Wheelchair Basketball,"18""","5'11.5""""","110lbs""",Ontario Winter Games 2012,N/A,,,,,,,,,,,,,,,
Conner McDonald,British Columbia,South Delta - Tsawwassen,Athlete,Hockey,"15""","5'2""""","140lbs""",N/A,,,,,,,,,,,,,,,,
Baily McDonald,Ontario,Barrie,Athlete,Snowboard,"16""","5'5""""","130 lbs""",2012 Alberta Winter Games for hockey,,,n/a,Whistler Cup 2013,,,,,,,,,,,,
Sarah McDonnell,Ontario,Mississauga,Athlete,Hockey,"17""","5'5''""","155lbs""",,,2012 - Ontario Winter Games,,,CanAm 2013,Provincial Championships 2013,,,,,,,,,,
Lindsey Alison McDonald,British Columbia,"North Vancouver, BC",Athlete,Cross Country Skiing,"21""","5'10""""","60kg""",Ontario Winter Games 2012,,,,,,,,,,,,,,,,
Brooklyn McDougall,Alberta,Calgary,Athlete,Speed Skating,"16""","171""","160lbs""",,,,Provincial Championships 2013,Synchronized Swimming,,,,,,,,,,,,
Justin Carter McEachern,Alberta,Airdrie,Athlete,Judo,"17""","5'11""""","95 lbs""",,,CanAm 2013,,,"16""",",",Prague Christmas Cup 2010,Alberta Summer Games 2012,US Open in Henderson Nevada 2014,,,,,,,
Sam McEachran,Ontario,"Georgetown, Ontario",Athlete,Speed Skating,"19""","5'2""","130""",,None,,,,,,,,,,,,,,,
Lissa Anne McGaghey,New Brunswick,Campbellton,Athlete,Figure Skating,"14""","5'7""""","145 LBS""",None,2013 - U18 Nationals (Team Ontario Blue),,Athlete,,,,,,,,,,,,,
Maeveine McGauley,Saskatchewan,Nelson,Athlete,Hockey,"16""","5'10""""","164 lbs""",2015 - IIHF U18 World Championships,,"Sherwood Park, Alberta",,,,,,,,,,,,,,
Landon Mark McGauley,British Columbia,Quesnel,Athlete,Alpine Skiing,"20""","6'""","145 lbs""",NL Winter Games (2014),,,,"19""",,,,,,,,,,,,
Cody Alexander McGhee,Ontario,Pickering,Athlete,Curling,"17""","5' 7""""","150""",Manitoba Games- 2010,Provincial Championships 2014,,,,",",,,,,,,,,,,
Rhyen McGill,Ontario,Whitby,Athlete,Hockey,"17""","5'8""""","142""",CanAm 2014,,,,,,,,,,,,,,,,
Kyle McGrath,Newfoundland and Labrador,St. John's,Athlete,Hockey,"15""","5'9""""","170lb""",,,,Ringette,,,,,,,,,,,,,
Conor McGovern,Manitoba,Winnipeg,Athlete,Cross Country Skiing,"16""","5' 11""""","115lbs""",,Alberta,Athlete,,,,,,,,,,,,,,
Cam McGregor,Ontario,Mississauga,Athlete,Alpine Skiing,"16""","5'4""""","105""",",
Gwen McGuire""",,,,,,,,,,,,,,,,
Lexi McGrath,New Brunswick,Dieppe,Athlete,Figure Skating,"16""","5' 1""""","4""",,"-Canadian Ringette Championships (2013, 2014)",,,,,,,,,,,,,,,
Tessa McGuigan,Prince Edward Island,Charlotetown,Athlete,Gymnastics,"14""",5,"159 lbs""","-Ontario Winter Games (2012, 2014)",Newfoundland Games 2010- Cross Country Skiing,,,,,,,,,,,,,,,
Megan McGuigan,New Brunswick,,Athlete,Synchronized Swimming,"15""","5'6""""","145 lbs.""",Canada Winter Games 2011 - Cross Country Skiing,,,,,,,,,,,,,,,,
Kyle Patrick McGuire,Nova Scotia,Halifax,Athlete,Target Shooting,"16""","5'8""""",",Canada Summer Games 2013- Triathlon""",,,,,,,,,,,,,,,,,
Megan Reanne McGuire,Ontario,"Richmond, Ontario",Athlete,Ringette,"19""","5 ft 7 1/2""","160""",Prince Edward Island,,Biathlon Nationals (2014),,,,,,,,,,,,,,
Emily McIlroy,Newfoundland and Labrador,St.Philip's,Athlete,Cross Country Skiing,"18""","6'1""""",",
Melora McInnis""",,Arctic Winter Games (2014),,,,,,,,,,,,,,,
Ethan McIndoe,Alberta,"Camrose, Alberta",Athlete,Hockey,"15""","5ft 8""","120lbs""",Arctic Winter Games (2014),,,,,,,,,,,,,,,,
Patrick McIlroy,Newfoundland and Labrador,,Athlete,Cross Country Skiing,"16""","5'6""""","130""",Easterns,Participant in Manitoba Provincials 2011-2014,,,"Canadian Age Class Long Track Championships - 2011, 2014",,,,,,,,,,,,
Chelaine Tannis McInroy,British Columbia,"Armstrong, BC",Athlete,Alpine Skiing,"20""","5'6""""","147 lbs""",2012 Optimist in British Columbia,,,Atlantic Challenge cup 2014,,,,,,,,,,,,,
Miki McInroy,Yukon,Whitehorse,Athlete,Hockey,"14""","5'6""""","127""",Manitoba Games 2014,Alberta Winter Games Biathlon (2010),Atlantic Challenge cup 2013,,,,,,,,,,,,,,
Clay McIntyre,Ontario,Nestleton,Athlete,Gymnastics,"15""","5'2""""","167""",Alberta Summer Games Triathlon (2012),,,Short Track Eastern Canadian Championships - 2011,,,,,,,,,,,,,
Jordyn McIntyre,Manitoba,Winnipeg,Athlete,Curling,"17""","5'10""","47kg""",,,Short Track National Championships - 2009,,,,,,,,,,,,,,
James McIsaac,Manitoba,Winnipeg,Athlete,Hockey,"15""","162.5cm""","181lbs""",,,,,,,,,,,,,,,,,
India Rose McIsaac,Alberta,Calgary,Athlete,Cross Country Skiing,"14""","6'1""""",",Arctic Winter Games 2014""",,,,,,,,,,,,,,,,,
Jared William McIsaac,Nova Scotia,"Truro, Nova Scotia",Athlete,Hockey,"14""","5'0""","170""",,Atlantic Challenge cup 2014,,,,,,,,,,,,,,,
Carina Lynne McKay-Saturnino,Northwest Territories,Inuvik,Athlete,Curling,"17""","5'9.5""""","134""",Atlantic Challenge cup 2013,,,,,,,,,,,,,,,,
Jeremy Mckenna,Prince Edward Island,"Summerside,PEI",Athlete,Hockey,"15""","5'8""""","134.5""",,North American Short Track Championships - 2009,,,,,,,,,,,,,,,
Ryan Matthew McKenna,Prince Edward Island,"Charlottetown, Prince Edward Island",Athlete,Gymnastics,"16""","5'4""","149 lbs""","Ontario Winter Games - 2008, 2012, 2014",,,,,,,,,,,,,,,,
Kristen McKinley,New Brunswick,Quispamsis,Athlete,Hockey,"15""","5'4""""","145 lbs""",,,,,,,,,,,,,,,,,
Keira McLaughlin,New Brunswick,Fredericton,Athlete,Curling,"14""","5'5''""","147""","Arctic Winter Games (2012, 2010)",,,,,,,,,,,,,,,,
Bethany McKinley-Young,Ontario,Ottawa,Athlete,Speed Skating,"18""","5'3""""","75 kg""",US open 2013,,,,,,,,,,,,,,,,
Erica Jaine McLean,Nova Scotia,"Timberlea, NS",Athlete,Ringette,"18""","185 cm""","135""",,2013: Alberta Challenge Cup,,,,,,,,,,,,,,,
Caelan Pangman McLean,Yukon,"Whitehorse, Yukon",Athlete,Cross Country Skiing,"17""","5""9""","145""",2012: Alberta Winter Games,,,,,,,,,,,,,,,,
Maxime McLean,Alberta,Calgary,Athlete,Synchronized Swimming,"17""","5""5""","135ilbs""",Alberta Winter Games 2012,,,,,,,,,,,,,,,,
Olivia Mclean,New Brunswick,Penobsquis,Athlete,Alpine Skiing,"14""","5'6""""","65kg""",,,,,,,,,,,,,,,,,
Amanda McLeod,Alberta,Okotoks,Athlete,Hockey,"16""","162cm""","160""","Arctic Winter Games 2012, 2014",Ontario winter games 2011,,,,,,,,,,,,,,,
Sara McLean,Alberta,Calgary,Athlete,Cross Country Skiing,"16""","6'""","145""","the silversitck 2009-2014, ohf championship 2009 and as a ap for 1998 marlies",,,,,,,,,,,,,,,,
Brock McLeod,Nova Scotia,"Dartmouth, Nova Scotia",Athlete,Hockey,"15""","5'5''""","175 lbs.""",,N/A,,,,,,,,,,,,,,,
Davina McLeod,Northwest Territories,Aklavik,Athlete,Hockey,"17""","6'1""""","175""",Arctic Winter Games,,,,,,,,,,,,,,,,
Ryan Mcleod,Ontario,Mississauga,Athlete,Hockey,"15""","5 10 1/2""","148""",,"Junior Nationals, Montreal - 2010",,,,,,,,,,,,,,,
Carson McManaman,Prince Edward Island,North Rustico,Athlete,Hockey,"15""","5'11""""","130""","Canada Games, Halifax - 2011",,,,,,,,,,,,,,,,
Dawson McMeekin,Northwest Territories,"Hay River, NT",Athlete,Hockey,"15""","5'4""","250""",,,"BC Summer Games-Surrey, 2012",,,,,,,,,,,,,,
Kayla McMurchy,Manitoba,Winnipeg,Athlete,Synchronized Swimming,"16""","5'11""",,,,,,,,,,,,,,,,,,
Ronnie McPhee,Prince Edward Island,"Charlottetown, PE",Athlete,Wheelchair Basketball,"21""",",","61 kg""",,2011 Canada Games,,,,,,,,,,,,,,,
Chris McQuaid,Prince Edward Island,Charlottetown,Athlete,Hockey,"15""","183 cm""","50 kg""",,,2014 BC Summer Games Rowing,,,,,,,,,,,,,,
Andrew McQuaid,Prince Edward Island,"Charlottetown, PE",Athlete,Speed Skating,"17""","170 cm""","55kg""",,none,,,,,,,,,,,,,,,
Peter McQuaid,Prince Edward Island,"Charlottetown, PE",Athlete,Speed Skating,"15""","175cm""",,none,"BCWG-Vernon, 2012",,,,,,,,,,,,,,,
Victoria McQuaid,Prince Edward Island,Charlottetown,Athlete,Synchronized Swimming,"17""",",","145lbs""","BCWG-Kimberley/Cranbrook, 2008",National Womens U-18 Championship tournament in Calgary,2013-2014 OEMHL AAA Major Bantam Champions,,,,,,,,,,,,,,
Taltson Mcqueen,Northwest Territories,,Athlete,Hockey,"16""","5'2""""","150lb""",Manitoba Games 2014,Optimist U-18 2014,,,,,,,,,,,,,,,
Belle Medicraft,Alberta,Red Deer,Athlete,Target Shooting,"16""","5'8.5""","165 lbs""",Arctic Winter Games 2014,2012 BC Winter Games Cross Country Skiing,,,,,,,,,,,,,,,
Emilie Medland-Marchen,British Columbia,Kelowna,Athlete,Speed Skating,"19""","5'11""""","125 lbs""",,"World Junior Squash Championships 2014, Namibia -August 2014",,,,,,,,,,,,,,,
Kayla Mee,Manitoba,Stonewall,Athlete,Hockey,"17""","5' 2""""","125lbs""","World Junior Squash Championships 2014, Namibia -August 2014",World Junior Women Squash Team Championships (2013),,,,,,,,,,,,,,,
Alyssa Meger,Yukon,Whitehorse,Athlete,Curling,"14""","5'6""","160lbs""",Ontario Winter Games 2010,2012-2013 OEMHL AAA Minor Bantam Champions,,,,,,,,,,,,,,,
Hannah Mehain,British Columbia,Vernon,Athlete,Cross Country Skiing,"16""","6'3""""","125 lbs.""",Major Bantam Ontario Provincials Bronze medal 2013,,,,,,,,,,,,,,,,
Mike Mehl,Alberta,Calgary,Athlete,Squash,"16""","5""6""","165 lbs.""",,,"in April 2014, I participated in the Atlantic Bantam AAA Challenge Cup, Mount Pearl NewFoundland. Our team won silver medal and won player of the game.",,,,,,,,,,,,,,
Sophie Mehta,Ontario,Toronto,Athlete,Squash,"17""","5'9""""","70 kg""","Canadian Ringette Championships 2010, 2011, 2012, 2013, 2014",,,,,,,,,,,,,,,,
Greg Meireles,Ontario,Ottawa,Athlete,Hockey,"16""","188 cm""","150""",,"NAIG, Canada Summer Games,Western Canada Games, Nike Grande Prix",,,,,,,,,,,,,,,
Sean Mekers,Nova Scotia,Truro,Athlete,Freestyle Skiing,"19""","5'10""","110 lbs""",arctic winter games in Alaska,,"WAGC: 2014, 2013",,,,,,,,,,,,,,
Brittany Elise Melanson,Nova Scotia,"Hammonds Plains, Nova Scotia",Athlete,Ringette,"19""","5`7""""","166""",,,,,,,,,,,,,,,,,
Eric Melanson,New Brunswick,"Dieppe, NB",Athlete,Squash,"14""","5'9""","137""",,,,,,,,,,,,,,,,,
Daniel Melanson,Northwest Territories,Inuvik,Athlete,Badminton,"16""","5'5''""","66kg""","in 2014, I played with the new Brunswick Moncton Bantam AAA Hawks. We won the provincial Bantam AAA title.",International Children Games 2011,,,2014 1st All Star Team- East Coast IceJam Forward,,,,,,,,,,,,
Kim Melanson,New Brunswick,Shediac,Athlete,Ringette,"19""","172cm""","155 lbs""",Alberta Winter Games 2012 and 2010,,,,,,,,,,,,,,,,
Jacob Melanson,Yukon,Whitehorse,Athlete,Judo,"17""","5'8''""","70kg""",,Pan américain: 2014,,,,,,,,,,,,,,,
Tristan Mercure,New Brunswick,Dieppe,Athlete,Hockey,"15""","175cm""","150lbs""",Jeux du Québec: 2013,,,2012 Atlantic Challenge Cup Team NS U14,,,,,,,,,,,,,
Siobhan Mellors,Alberta,Canmore,Athlete,Speed Skating,"17""","5'11""","57 kg""",ONTARIO WINTER GAMES 2012,"Played games in club league, provincially and internationally- 2004-2014",Atlantic Challenge Cup Team NS U15,,,,,,,,,,,,,,
Stephen Messier,Northwest Territories,Yellowknife,Athlete,Squash,"13""","155 cm""","103""",none,,,,,,,,,,,,,,,,
Sophiane Méthot,Quebec,Varennes,Athlete,Gymnastics,"16""","5.11/2""","130lb""",Western Canada Summer Games (2011),,,,,,,,,,,,,,,,
Camryn Metzger,Ontario,THORNBURY,Athlete,Alpine Skiing,"15""","5'""","125lb""",,,,,,,,,,,,,,,,,
Corin Metzger,Ontario,Elmira,Athlete,Wheelchair Basketball,"23""","5'6""""","65.5kg""",,,,,,,,,,,,,,,,,
Sean Mickelson,Alberta,Calgary,Athlete,Gymnastics,"18""","168cm""",,Junior Nations - 20,2013 Full name of competition/event,Star Michel Proulx 2014 1st place,,,,,,,,,,,,,,
Sterling Middleton,British Columbia,Fort St John,Athlete,Curling,"16""",",","145 lbs""",Year,,,,,,,,,,,,,,,,
Grant Miller,Nova Scotia,,Athlete,Wheelchair Basketball,"23""","5 10""","160""",,,,,,,,,,,,,,,,,
Andrew Mihic,Manitoba,Winnipeg,Athlete,Freestyle Skiing,"18""","5'10""","130lbs.""",,,,,,,,,,,,,,,,,
Shaun Miller,Nova Scotia,Enfield,Athlete,Hockey,"15""","5'3""""","160""",,Brick tournament (2009),"2014 Panamerican Junior Championship, Guatemala City, Guatemala",,,,,,,,,,,,,,
Molly Sheila Miller,British Columbia,Kimberley,Athlete,Cross Country Skiing,"13""","5'11""""","50 kg""",none,Invitation Terrebonne 2014 2nd place,,,,,,,,,,,,,,,
Kay Mills,New Brunswick,Fredericton,Athlete,Alpine Skiing,"14""","168 cm""","155lb""",Invitation Pierrette Vaillant 2014 1st place,,,,,,,,,,,,,,,,
Seung Jae Min,Manitoba,Korea,Athlete,Target Shooting,"14""","5'10""","160""",BC Games,,,,Junior National Championships (2014),,,,,,,,,,,,
Ian Mitchell,Alberta,Calahoo,Athlete,Hockey,"16""","5 Ft""","175""",,,,,,Parasport games (2014),,,,,,,,,,,
Samantha Miscione,Quebec,Montreal,Athlete,Figure Skating,"23""","6' 2 1/2""""","75kg""",,2013 - Québec Winter Games,,,,,,,,,,,,,,,
Devin Mittertreiner,British Columbia,Calgary,Athlete,Alpine Skiing,"14""","1m72""","178""","59kg""",N/A,,Ontatio Winter Games (2014),,,,,,,,,,,,,
Chen Ming MO,Quebec,NanNing (Chine),Athlete,Table Tennis,"16""","6'2""","72m""",N/A,ParaSport Games since 2009,ParaSport Games (2013),,,,,,,,,,,,,,
Liam Moffatt,Nova Scotia,Truro,Athlete,Snowboard,"17""",1,"165""",Ontario Games since 2010,Jeux du Canada 2011,,,,,,,,,,,,,,,
Alexandra Mocanu,Quebec,Montréal,Athlete,Badminton,"15""","5'10""""","101 lb""",Jeux du Québec 2009,,NSFMHL-PRO CRESTING PENGUINS AAA,,,,,,,,,,,,,,
Kobe Mohr,Alberta,Lloydminster,Athlete,Hockey,"15""","5'1""""","120 lbs""",,,,,,,,,,,,,,,,,
Hisham Mohammad,Ontario,Whitby,Athlete,Wheelchair Basketball,"20""","5'6""""","121""",Manitoba Winter Games - 2014,,,,,,,,,,,,,,,,
Etienne Moisan,Quebec,Laval,Athlete,Wheelchair Basketball,"23""","5'6""","217""",Jeux du Québec à Amos-Région en cyclisme sur route. Été 2005,ParaSport Games (2012),,,,,,,,,,,,,,,
Amy Mol,Prince Edward Island,Cornwall,Athlete,Ringette,"18""","6'2""""","75 kg""",Ontario Winter Games (2012),,AWG 2014,,,,,,,,,,,,,,
Tanner Mole,Manitoba,Winnipeg,Athlete,Hockey,"15""","181 cm""","130 lb""",,NAPHA-WYOMING SEMINARY PREP SCHOOL-VARSITY,,,,,,,,,,,,,,,
Dominique Moncion-Groulx,Quebec,Gatineau,Athlete,Cross Country Skiing,"21""","5'3''""","52kg""",ATLANTIC CHALLENGE CUP (PROVINCIAL),Whistler Cup 2013,,,,,,,,,,,,,,,
Émilie Mondor,Ontario,Ottawa,Athlete,Wheelchair Basketball,"21""","155cm""","130LBS""",Alberta Winter Games 2013,,,,,,,,,,,,,,,,
Jacquie Monette,British Columbia,Whistler,Athlete,Snowboard,"17""","5'4""""","100""",,,,,,,,,,,,,,,,,
RACHEL MONK,Nova Scotia,PORTERS LAKE,Athlete,Hockey,"17""","4'6''""","135 lbs""",,AWG 2014,,,,,,,,,,,,,,,
Cody Monod,Alberta,Canmore,Athlete,Alpine Skiing,"14""","5ft 5inches""","150 lbs."""," 2013""",,,,,,,,,,,,,,,,
Sarah Montgomery,Newfoundland and Labrador,Hants HArbour,Athlete,Badminton,"19""","5'9""""",",Team NWT touring team",Nl winter games 2014,,,,,,,,,,,,,,,,
Greg Moogk,Ontario,Guelph,Athlete,Alpine Skiing,"29""","5""5""","150 lbs""",BC Winter Games 2012,"Nationals 2009, 2010, 2011, 2014 BC Wintergames 2010",,,SWG 2008 Moose Jaw (Speed Skating),,,,,,,,,,,,
